time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:28:22.120",-0.35287,0.16054,1.01559,-0.16577,-0.04663,0.03611,0.08216,-0.02058,0.63937,0.23237,-0.46945,0.71909,31.97158,1.67821,-0.67413,1.0449,866.54242,-2.76023,0.09398,0.20016
="2026/04/02 16:28:22.140",-0.30702,0.07102,0.12649,-0.18878,-0.0225,-0.09597,0.53463,-0.01849,0.03033,-0.01156,-0.59505,0.87782,32.8051,-1.04598,-0.24386,0.67597,868.61707,-2.50678,-0.10113,0.96418
="2026/04/02 16:28:22.160",-1.28211,0.09635,0.49733,-0.01952,0.00108,0.02711,-0.36118,-0.15747,-0.50492,0.37291,-0.97922,0.62875,34.38379,1.50494,-0.37419,0.83272,873.65607,-1.96141,0.15977,-0.13021
="2026/04/02 16:28:22.180",-0.08542,0.15903,0.8039,-0.28563,-0.05703,0.00066,0.37917,-0.01667,0.21548,-0.27457,-0.56165,0.93687,31.00113,-0.12168,0.16254,-0.92868,874.96051,-2.37646,0.11289,0.28461
="2026/04/02 16:28:22.200",-1.08121,0.15844,-0.41437,0.16887,0.01345,0.06053,-0.26761,0.09044,-0.76881,0.1642,-0.31443,1.33398,27.8355,-0.23878,0.01343,-0.1141,876.66309,-1.82584,0.07069,0.39971
="2026/04/02 16:28:22.220",-0.61444,0.30253,1.14797,0.25118,-0.03992,-0.01463,-0.44164,0.03796,-0.33569,-0.10216,0.0582,0.48318,23.20632,1.20576,0.52199,-1.5529,876.7442,-1.64979,0.18466,-0.16017
="2026/04/02 16:28:22.240",-0.20245,0.13053,-0.26906,0.38227,-0.01736,0.04787,-0.19778,-0.06219,-0.35507,-0.29968,-0.34611,0.61203,17.72262,-1.24704,0.77966,-1.55983,872.08508,-1.06638,-0.15967,0.35361
="2026/04/02 16:28:22.260",-0.98871,0.02041,-0.08743,0.49315,0.11692,0.11888,-1.08057,0.02931,-0.79824,0.19938,-0.16021,0.10144,15.28545,0.59215,0.53019,-1.26409,868.35394,-0.14911,-0.00684,-0.65791
="2026/04/02 16:28:22.280",0.71113,0.06354,0.29141,0.59959,0.00273,0.02308,-0.49099,0.0197,0.14646,-0.20131,0.21416,0.04721,11.72139,-0.28918,1.02373,-2.48479,860.85291,-0.28247,0.06297,-0.23812
="2026/04/02 16:28:22.300",-0.2242,0.0243,-0.99773,0.54874,0.0745,0.02041,-0.64241,-0.02916,-1.19337,0.13167,0.03054,0.58353,11.49184,-1.28569,0.8661,-1.94277,855.08984,0.45458,-0.1045,0.37149
