time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ
="2026/04/02 17:18:58.280",0.01684,-0.00805,-0.01006,0.00619,-0.01041,0.04614,0.01797,0.01269,0.01546,-0.01871,0.00059,0.0152,0.00092,0.00535,0.0054,18.21353,860.93866,0.01195,0.00946,-0.01543
="2026/04/02 17:18:58.300",0.00985,0.00125,-0.00661,0.01187,-0.00003,0.02045,-0.0134,0.0023,0.00907,-0.00503,0.00003,0.01414,0.00415,-0.00317,0.00201,18.19772,860.18787,0.00666,0.00219,-0.03826
="2026/04/02 17:18:58.320",0.00162,0.00061,0.0011,-0.00281,-0.0102,0.04359,-0.02088,-0.00006,-0.00989,-0.00662,0.00445,-0.00451,-0.00876,-0.00459,0.01173,18.7621,860.25714,0.00725,0.00888,-0.02502
="2026/04/02 17:18:58.340",0.01784,-0.00123,-0.01312,0.0069,0.00086,0.02266,-0.00117,0.00456,0.00468,-0.00124,0.00512,-0.01096,-0.00566,-0.00086,-0.0071,19.24068,860.3045,0.01223,0.00285,-0.02273
="2026/04/02 17:18:57.040",-0.00551,-0.00223,0.00632,,,,-0.00221,-0.00066,0.00468,,,,0.00991,-0.00384,-0.00073,19.12729,861.86517,-0.01938,0.00299,0.00676
="2026/04/02 17:18:57.060",-0.00456,-0.00364,0.01004,,,,-0.02316,-0.00213,0.009,,,,0.01859,0.00518,0.0081,19.35695,861.46289,0.00306,0.00274,-0.00692
="2026/04/02 17:18:57.080",-0.00034,-0.00046,-0.00126,,,,-0.02948,0.00371,0.00414,,,,-0.0014,-0.01033,0.00662,19.22465,861.15399,-0.00788,-0.00237,-0.02716
="2026/04/02 17:18:57.100",0.00648,0.00578,-0.01082,,,,0.02405,-0.00663,-0.01129,,,,0.00888,-0.00483,-0.01286,18.46484,861.08307,0.00216,0.00039,-0.03681
="2026/04/02 17:18:57.120",0.01063,0.00253,-0.01274,,,,-0.02176,-0.0087,0.00906,,,,0.00018,-0.00531,0.01622,17.5796,860.61542,0.01954,0.00083,-0.04033
="2026/04/02 17:18:57.140",-0.0017,-0.00174,-0.00849,,,,-0.02443,-0.00451,0.01215,,,,0.00079,-0.00755,0.00832,18.28899,860.65289,0.00112,-0.00395,-0.04167
="2026/04/02 17:18:57.160",0.0058,0.00673,0.00454,,,,-0.01813,0.00194,-0.00602,,,,-0.01417,0.00652,0.00751,18.81716,860.60754,0.01353,0.0008,-0.02477
="2026/04/02 17:18:57.180",-0.00018,-0.00364,0.00781,,,,0.02297,-0.00018,-0.01344,,,,0.00734,0.00753,0.01115,18.91103,860.38202,0.00133,0.00301,-0.01343
="2026/04/02 17:18:57.200",-0.00317,0.00068,0.00505,,,,-0.02682,-0.00579,0.0083,,,,-0.00411,-0.00271,-0.00421,19.13308,860.19458,-0.00171,0.00196,-0.00851
="2026/04/02 17:18:57.220",0.00007,0.00224,-0.00437,,,,0.00477,-0.00256,-0.00712,,,,-0.005,-0.0054,-0.00035,19.26148,860.50281,-0.00098,-0.00579,0.01254
="2026/04/02 17:18:57.240",-0.00401,-0.00467,0.00277,,,,-0.01281,0.0013,-0.01752,,,,-0.00636,-0.00053,-0.00856,19.78142,860.93188,0.00664,-0.01057,0.01425
="2026/04/02 17:18:57.260",-0.01132,0.00104,-0.00321,,,,-0.00956,-0.00023,0.01412,,,,-0.00286,-0.00364,-0.00358,20.51689,861.56067,-0.00531,-0.00184,0.0342
="2026/04/02 17:18:57.280",-0.00967,-0.00362,0.01167,,,,-0.05875,0.00122,0.0384,,,,0.00893,-0.00798,0.01218,20.39552,861.4375,-0.01114,0.00309,0.02067
="2026/04/02 17:18:57.300",-0.01618,-0.005,0.00313,,,,0.03912,0.01392,0.00631,,,,0.00505,0.0012,0.0051,19.75142,861.39764,-0.00614,0.00476,0.03412
="2026/04/02 17:18:57.320",-0.01027,-0.00519,-0.00403,,,,-0.0092,-0.00458,0.00128,,,,0.00614,-0.00121,0.02177,19.15975,861.67285,-0.01296,-0.0009,0.01896
="2026/04/02 17:18:57.340",-0.00059,0.00508,0.0006,,,,0.01483,0.00427,0.01016,,,,0.01415,-0.00408,-0.00198,19.36827,861.76624,-0.00252,-0.00158,0.01243
="2026/04/02 17:18:58.360",0.00656,-0.00695,0.00147,-0.01165,-0.00505,0.03036,0.03115,0.00265,-0.00611,0.01323,0.00107,-0.02244,0.00476,-0.00146,0.00619,19.29784,860.20258,0.00594,0.00203,-0.01814
="2026/04/02 17:18:58.380",0.00422,-0.00473,-0.00079,-0.00731,0.00329,0.01154,-0.01235,0.00315,0.00506,0.00774,0.00609,-0.01849,-0.00412,0.00014,-0.01017,19.1997,860.35571,0.00382,-0.00031,-0.00258
="2026/04/02 17:18:58.400",-0.00199,0.00204,-0.00163,-0.0118,0.00343,-0.01898,-0.02416,-0.00555,0.00016,0.02049,0.00157,-0.00974,-0.00522,0.00028,0.01073,19.50247,860.30951,-0.00638,-0.00313,0.00842
="2026/04/02 17:18:58.420",-0.00512,-0.00041,-0.00227,-0.0145,0.0063,-0.0265,-0.02996,-0.00551,0.01591,0.01561,-0.00066,-0.01208,-0.00021,-0.00332,-0.00041,20.52681,860.59637,-0.00466,-0.00383,0.02563
="2026/04/02 17:18:58.440",-0.00423,-0.00012,0.00406,-0.00815,0.00286,-0.05205,-0.02328,0.00077,-0.00543,0.02006,0.00158,-0.03143,0.00531,-0.00366,0.01764,20.82555,860.77771,-0.00777,-0.00269,0.01952
="2026/04/02 17:18:58.460",-0.00393,-0.00305,0.00199,-0.00191,-0.00725,-0.05286,0.01724,0.00045,-0.01611,0.00486,0.00239,0.00812,0.00168,-0.00644,0.00273,20.3509,860.81335,-0.00886,-0.00853,0.03241
="2026/04/02 17:18:58.480",-0.01138,-0.00355,0.00336,-0.0007,0.00276,-0.06085,0.00291,0.00406,-0.0033,0.00192,-0.00179,0.00394,-0.00099,0.00355,0.00426,19.92671,861.24658,-0.01775,0.00274,0.03025
="2026/04/02 17:18:58.500",-0.00495,0.00391,0.00325,0.01402,0.00053,-0.0351,0.00161,0.00734,0.01944,-0.00751,-0.00016,0.0111,-0.00327,0.00258,0.00449,19.61009,861.73987,-0.01155,0.00205,0.03116
="2026/04/02 17:18:58.520",-0.00871,0.00734,0.0071,0.01419,-0.00467,-0.00849,-0.00829,0.00221,0.00687,-0.00916,-0.00722,0.02729,0.00709,0.00239,-0.01194,19.37569,861.93182,-0.00182,0.00106,0.02727
="2026/04/02 17:18:58.540",0.00083,0.00731,-0.00021,0.00634,0.00463,0.00247,0.03236,-0.00518,0.00163,-0.01299,0.00002,0.01967,0.00295,-0.00219,0.00023,19.01856,861.76294,-0.00097,0.00048,-0.00438
="2026/04/02 17:18:58.560",0.00711,-0.00058,-0.00372,0.00107,-0.00536,0.02167,0.03317,0.01123,0.00282,-0.00646,0.00052,0.0123,0.00752,0.00201,-0.02733,18.90176,861.07324,0.00457,0.00038,-0.01671
="2026/04/02 17:18:58.580",0.00425,-0.00206,0.00252,0.00486,-0.00427,0.03366,-0.01534,0.00727,0.007,-0.01086,0.0016,0.01629,0.00174,-0.00116,0.00095,19.25001,860.99585,0.01498,0.00533,-0.02977
="2026/04/02 17:18:58.600",0.01036,-0.00604,-0.01235,-0.00035,-0.0057,0.04181,0.02216,0.01465,0.01319,-0.006,-0.00241,0.00385,-0.00012,0.00369,-0.00312,19.17026,860.48517,0.00066,0.00774,-0.02517
="2026/04/02 17:18:58.620",0.0197,0.01283,-0.00737,0.0019,0.00028,0.0423,-0.00161,0.00807,0.01241,-0.00468,0.00485,0.01585,-0.00213,0.00622,-0.0023,18.93674,859.74219,0.00407,0.0051,-0.01856
="2026/04/02 17:18:58.640",1.45357,-0.40133,-1.42746,0.00512,0.00535,0.01316,0.00516,-0.00133,0.01896,0.01476,0.00258,-0.01408,0.00024,0.00014,-0.00124,18.75026,859.97186,-0.14951,0.30845,1.96475
="2026/04/02 17:18:58.660",0.71898,0.20899,-0.25402,-0.00164,0.00321,0.01893,-0.01187,0.0078,0.01276,0.01717,0.00264,-0.01582,-0.00408,-0.0041,-0.00418,19.36839,860.34045,-0.15211,1.32522,-0.79397
="2026/04/02 17:18:58.680",-0.86783,0.16831,0.88305,0.00119,-0.00111,0.00582,-0.03141,-0.01265,0.00084,0.01399,-0.0006,-0.01627,0.002,-0.00083,-0.00135,20.44855,860.31818,-0.49752,-0.06887,-0.68633
="2026/04/02 17:18:58.700",2.05432,0.12778,-2.17813,-0.01287,0.00181,-0.0084,0.03379,0.00716,0.00011,0.01247,0.00513,-0.02681,-0.00905,-0.00004,0.00143,20.44892,860.4137,-0.45642,-0.98852,-0.49347
