time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:04:34.220",-0.22725,-0.07383,-0.14395,-0.58362,0.46511,0.01145,-0.12939,0.00129,-0.00534,20.28616,-0.04308,-0.16227,0.05574,-0.02228,-0.05048,0.14566,-0.03908,0.02035,0.1906,860.42065
="2026/04/02 16:04:34.240",-0.01835,0.00768,0.41375,0.4326,-0.00358,0.01771,-0.05797,0.03669,-0.02798,21.85193,-0.25415,0.03073,-0.18461,0.00511,0.07348,-0.16816,0.02105,0.0177,0.01793,861.6814
="2026/04/02 16:04:34.260",0.04605,0.01168,-0.07915,-0.18211,0.09811,-0.41787,0.0339,-0.02177,-0.01245,21.94505,0.08767,0.01311,0.10379,-0.08785,-0.03859,0.01311,-0.13168,-0.02252,0.08033,862.64038
="2026/04/02 16:04:34.280",-0.25976,0.03445,0.08937,0.02232,0.10864,-0.26756,-0.01799,0.01133,0.02608,20.72172,-0.10061,0.0061,-0.20035,0.16875,0.01399,-0.16066,-0.00284,0.04443,0.19254,863.91748
="2026/04/02 16:04:34.300",0.08892,0.03972,0.2004,0.52063,0.2106,-0.40041,-0.07929,0.00685,-0.0037,20.76178,-0.03014,0.02443,-0.02968,-0.13789,0.02502,-0.10168,-0.15806,0.16348,-0.01706,865.48206
="2026/04/02 16:04:34.320",-0.28339,0.01079,-0.31141,-0.25851,0.13365,-0.43061,-0.12399,-0.01904,-0.02508,20.39767,0.0565,-0.01466,0.0129,-0.00219,-0.06231,0.29083,-0.06629,-0.21289,0.18196,866.36664
="2026/04/02 16:04:34.340",0.00531,0.16085,0.36264,0.53538,0.11954,-0.42989,-0.05045,-0.05195,-0.00662,20.48,-0.18153,-0.05084,-0.10178,0.02619,0.02486,-0.11536,-0.05203,-0.0519,0.0271,867.948
="2026/04/02 16:04:34.360",0.0786,0.21347,-0.08138,0.0231,0.10949,-0.50547,-0.0995,-0.04884,0.01618,19.51058,0.11891,0.02646,-0.01161,-0.00449,-0.04701,-0.0136,-0.16164,0.03124,0.0564,867.59167
="2026/04/02 16:04:34.380",-0.10726,-0.05374,0.06379,-0.01727,0.17622,-0.47314,-0.12491,-0.04157,0.0029,18.54099,-0.11201,0.03013,-0.14383,-0.02868,-0.01089,0.03451,0.01759,-0.09047,0.31292,867.04333
="2026/04/02 16:04:34.400",0.2548,-0.05924,0.15624,0.37129,0.2833,-0.59154,0.07581,-0.05384,-0.03592,18.02333,-0.01266,-0.02074,-0.03899,-0.11764,0.06701,-0.09778,-0.06429,0.03037,-0.07242,866.40344
="2026/04/02 16:04:34.420",-0.07807,-0.02868,-0.27157,-0.4363,0.22222,-0.27183,-0.02566,0.01712,-0.02989,16.41139,0.07894,0.02096,-0.08864,-0.10675,-0.01933,0.12736,-0.02171,-0.13259,-0.02617,864.21637
="2026/04/02 16:04:34.440",0.05046,-0.00392,0.19124,0.21217,0.1061,-0.4062,-0.15692,0.01111,0.0477,17.14004,-0.14071,0.0057,-0.1813,-0.1223,0.10818,-0.19931,0.03017,0.1087,0.01709,863.73425
="2026/04/02 16:04:34.460",0.11602,0.03077,-0.23111,-0.23993,0.08278,-0.22793,-0.02818,0.00093,0.02494,18.73359,0.20604,0.01073,-0.02486,-0.02021,-0.04066,-0.12933,0.02107,0.10886,-0.19844,863.04468
="2026/04/02 16:04:34.480",-0.01477,-0.06065,-0.03979,-0.28218,0.06305,-0.11009,0.05116,0.04368,-0.0262,18.93455,0.02313,-0.05056,-0.27747,0.05392,-0.02654,-0.03203,0.01879,-0.14837,-0.14617,862.18408
="2026/04/02 16:04:34.500",0.12557,0.03427,0.14947,0.09935,0.03505,-0.25894,0.04982,0.0117,-0.00762,20.20925,0.02308,-0.01773,0.09366,-0.1201,0.01748,-0.05671,0.02005,-0.00813,0.05158,862.17065
="2026/04/02 16:04:34.520",-0.03024,0.00379,-0.42386,-0.46697,-0.1032,0.15725,-0.02368,0.00407,0.00203,20.80486,0.2013,-0.06922,-0.21266,-0.0843,-0.01199,0.23558,0.05204,0.08194,-0.02184,862.04443
="2026/04/02 16:04:34.540",0.16138,-0.01146,0.14628,0.29948,-0.16792,-0.00671,0.08682,-0.01898,0.02701,21.47974,-0.08173,0.04547,-0.06755,-0.24719,0.06963,-0.03706,0.06143,0.04662,-0.19953,863.90283
