time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 15:52:15.000",-0.4172,-0.02662,0.26378,0.27769,0.03881,-0.38908,16.47405,891.24701,-0.25033,0.00412,0.0348,0.00436,0.00078,0.01988,-0.13138,0.01642,-0.0361,0.02322,0.00612,0.00549
="2026/04/02 15:52:15.020",-0.27143,-0.00844,0.16526,0.1051,0.01341,-0.14104,6.43506,885.64673,-0.39545,-0.00159,0.10882,0.01987,-0.00492,0.02515,-0.04469,0.00093,-0.01155,-0.01669,0.0043,0.00269
="2026/04/02 15:52:15.040",-0.07827,-0.00314,0.05696,-0.13743,-0.02663,0.17327,0,875.84796,-0.40428,-0.00154,0.02263,0.02849,-0.01127,0.03924,0.03829,-0.01237,0.00893,0.00902,-0.0012,-0.00166
="2026/04/02 15:52:15.060",0.15181,0.0148,-0.08387,-0.32563,-0.00781,0.39359,0,864.01495,-0.34325,0.02166,0.04569,0.03536,-0.00764,0.03854,0.12116,-0.01483,0.03348,0.00568,0.01069,0.00393
="2026/04/02 15:52:15.080",0.2859,0.02189,-0.1741,-0.56716,-0.04858,0.44032,0,851.82922,-0.25281,-0.01735,-0.0125,0.01607,-0.01331,0.00172,0.18662,-0.01711,0.02212,-0.00681,0.00208,0.00765
="2026/04/02 15:52:15.100",0.41231,0.0145,-0.28841,-0.47722,-0.02038,0.66538,1.69448,841.9538,-0.11968,-0.0079,-0.00291,-0.00795,0.00067,-0.00695,0.18681,-0.0193,0.06976,0.00977,0.00649,0.00564
="2026/04/02 15:52:15.120",0.49942,0.02986,-0.31244,-0.44957,-0.00712,0.55956,10.30478,836.48651,0.05121,-0.02902,-0.02035,-0.02881,0.00571,0.00472,0.20552,-0.02927,0.03668,-0.01041,0.00974,0.01463
="2026/04/02 15:52:15.140",0.46089,0.01421,-0.26047,-0.33025,-0.0145,0.41987,20.91142,836.63263,0.19914,0.03375,0.02077,-0.04262,0.02153,-0.02741,0.1465,-0.00667,0.01674,0.0201,0.02339,-0.01078
="2026/04/02 15:52:15.160",0.31301,0.02699,-0.21001,-0.11028,-0.003,0.24697,31.08496,842.04688,0.35369,0.04706,-0.00352,-0.06319,0.0322,-0.04413,0.10006,-0.00504,0.01073,-0.01817,-0.00284,-0.00978
="2026/04/02 15:52:15.180",0.13504,0.00092,-0.09474,0.09319,-0.02681,-0.0654,38.6916,850.62836,0.42713,0.01846,-0.04727,-0.08046,0.02484,-0.04989,0.00086,-0.01551,-0.00139,-0.00914,0.00141,0.00671
="2026/04/02 15:52:15.200",-0.07576,-0.0031,-0.02003,0.27763,0.00261,-0.27172,43.41165,861.18872,0.41347,-0.0086,-0.08724,-0.08904,0.02534,-0.04337,-0.09149,0.00638,0.02869,-0.00006,0.01626,0.02491
="2026/04/02 15:52:15.220",-0.27303,-0.01582,0.1576,0.4888,0.05719,-0.49718,44.36511,872.45776,0.36574,0.00709,-0.03775,-0.07685,0.02364,-0.05557,-0.15539,-0.00383,-0.03832,-0.01228,0.02009,0.01993
="2026/04/02 15:52:15.240",-0.42028,-0.01282,0.20842,0.55311,0.03696,-0.65918,40.82773,883.0741,0.21138,0.01415,-0.00366,-0.04471,0.01781,-0.02027,-0.18712,0.01107,-0.05444,-0.00131,0.00117,0.00509
="2026/04/02 15:52:15.260",-0.48284,-0.00935,0.29537,0.52841,0.02115,-0.64857,32.81205,890.65839,0.07551,-0.02024,-0.0796,-0.07837,0.00815,-0.0388,-0.18092,0.02775,-0.04021,0.02186,0.00628,0.01099
="2026/04/02 15:52:15.280",-0.49315,-0.02219,0.31917,0.41148,0.01309,-0.5226,22.78282,893.27332,-0.08041,0.00001,-0.06842,0.03424,0.01503,-0.01667,-0.14602,0.00386,-0.04187,0.02168,0.00368,-0.00025
="2026/04/02 15:52:15.300",-0.36806,-0.01092,0.24726,0.22833,-0.01206,-0.32136,12.37304,890.13776,-0.24571,0.00062,0.03881,-0.0046,-0.00202,0.05784,-0.10761,0.01353,-0.04458,-0.02313,-0.00105,0.00601
="2026/04/02 15:52:15.320",-0.23062,-0.00244,0.123,0.00727,-0.00528,-0.04433,4.42722,882.74585,-0.34387,-0.01654,0.06026,0.02644,-0.00758,0.04231,-0.01848,0.00738,-0.01319,-0.01388,0.00598,0.00054
