time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:45:31.460",0.09771,-0.06725,0.07846,0.07522,-0.01619,0.16978,-0.18661,0.0852,0.03675,21.60087,865.63538,0.19307,0.00322,-0.05983,-0.27743,0.07848,0.15218,-0.09584,-0.0552,0.20017
="2026/04/02 15:45:31.480",0.08376,-0.17118,-0.00574,-0.2822,0.30593,-0.19845,0.16565,0.02757,0.06205,21.24256,864.72278,-0.00274,-0.01825,-0.06115,-0.39212,-0.02805,0.37785,0.05452,-0.08225,-0.06406
="2026/04/02 15:45:31.500",0.1106,-0.50496,-0.03237,-0.44332,0.30638,-0.02103,0.04486,0.02583,-0.04105,20.89108,864.56738,0.03274,0.0507,-0.24268,-0.27336,-0.02379,0.14221,-0.05589,-0.15645,-0.14216
="2026/04/02 15:45:31.520",0.04705,-0.10225,-0.1731,-0.42044,0.11735,-0.19566,0.01302,0.01099,-0.02298,21.43975,865.091,-0.09985,0.08291,-0.121,-0.30593,-0.0552,0.26824,-0.07955,-0.08414,0.17379
="2026/04/02 15:45:31.540",0.12822,-0.08094,-0.1557,-0.46661,0.15218,-0.30576,0.14612,-0.05376,-0.08558,21.75125,865.64935,0.14004,0.06105,-0.10173,-0.17991,0.07583,0.38384,-0.0543,-0.16267,-0.10721
="2026/04/02 15:45:31.560",0.04025,-0.18995,0.08434,-0.1797,0.0646,0.38361,-0.02357,0.00595,-0.06786,21.78833,865.72229,-0.13671,0.10968,-0.14462,-0.20355,-0.09409,0.16877,-0.17011,-0.05668,0.16757
="2026/04/02 15:45:31.580",0.12149,-0.0987,0.16275,-0.33861,-0.06962,-0.01984,-0.04492,0.05896,0.11364,21.35622,865.50555,-0.05045,0.02932,-0.1008,-0.07779,0.02891,0.15811,0.01377,-0.01087,0.09638
="2026/04/02 15:45:31.600",0.0984,-0.08674,0.10653,-0.41655,-0.09957,0.10632,-0.16396,-0.00005,0.07422,21.81285,865.81171,0.00534,0.03839,-0.1744,-0.18638,0.02452,0.4254,-0.16839,-0.06544,0.0918
="2026/04/02 15:45:31.620",0.09157,-0.04261,0.17243,-0.15193,-0.07088,0.24997,-0.12223,0.06781,0.00864,22.29012,865.60522,-0.13276,0.02632,-0.15641,-0.06098,-0.0595,0.0175,-0.11707,-0.04082,0.20595
="2026/04/02 15:45:31.640",0.04619,0.06283,0.08205,-0.25713,-0.13692,0.33812,0.03427,-0.03413,0.03051,22.00591,865.10638,0.04439,-0.01294,-0.10815,-0.05017,-0.03462,0.1797,-0.30157,0.00045,0.35091
="2026/04/02 15:45:31.660",0.11952,0.07885,0.19999,-0.24375,0.04623,-0.35764,-0.15594,0.02366,-0.00222,21.84943,864.75018,0.20095,0.06551,-0.2771,-0.16566,0.035,0.33866,0.20027,-0.02828,-0.1398
="2026/04/02 15:45:31.680",0.05194,-0.14153,0.22071,0.11527,-0.02099,0.54187,-0.17506,-0.0535,0.00405,20.82679,864.51001,-0.11055,-0.00506,0.02675,0.0351,-0.14339,-0.1429,-0.27993,0.01553,0.36976
="2026/04/02 15:45:31.700",0.03055,0.0622,0.04968,-0.14727,0.12068,-0.17894,-0.35413,-0.04905,0.0059,20.30963,864.32306,-0.11717,0.04109,-0.1662,-0.17503,0.08289,0.4576,-0.06673,0.03645,0.00249
="2026/04/02 15:45:31.720",0.03068,-0.08084,0.08253,0.01589,0.12657,-0.14582,-0.11816,0.02969,0.0144,20.74339,863.74542,0.07633,0.06593,-0.15137,0.01215,-0.02821,0.14241,0.02682,0.09416,-0.04962
="2026/04/02 15:45:31.740",0.04869,-0.13283,0.18548,0.26232,0.09456,0.7717,-0.13949,0.03196,0.04779,20.59142,863.08069,-0.19284,-0.00449,-0.10185,-0.06249,0.05895,0.01068,-0.39495,0.0018,0.26301
="2026/04/02 15:45:31.760",0.03026,-0.18741,-0.06423,-0.54614,0.14518,-0.11417,-0.26795,0.05657,0.04108,20.31256,862.99872,0.29958,0.02189,-0.30687,-0.19499,-0.00363,0.15189,0.21406,0.00228,-0.20432
="2026/04/02 15:45:31.780",0.11524,-0.35887,0.15963,-0.41102,-0.23008,0.76166,-0.21259,0.03122,0.03866,20.09718,862.56738,-0.01707,0.04494,-0.04808,-0.09129,-0.02869,-0.18561,-0.13981,-0.1066,0.2334
