time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 17:28:59.860",-0.86778,-0.65042,-0.1768,0.49604,-0.91271,1.8729,-1.17195,0.12085,0.13208,8.10442,0.34486,-0.05077,0.98406,1.29497,-0.00696,0.02711,867.34283,0.22581,0.44515,-0.32213
="2026/04/02 17:28:59.880",-0.91281,-0.4447,-1.20374,0.12434,-1.94321,5.15751,-1.07437,-0.00255,0.09927,5.12775,-0.62287,-0.01416,2.34186,1.39396,0.02857,0.12967,871.3894,-0.22202,0.22768,-0.27677
="2026/04/02 17:28:59.900",-0.46313,-0.65415,-1.6658,0.65261,-1.48886,4.11153,-0.87992,0.03386,0.04189,2.31424,0.03238,-0.07965,1.26323,2.27791,-0.04398,0.43749,873.85297,0.2754,0.13643,-0.05336
="2026/04/02 17:28:59.920",-0.14564,-0.53209,-1.92122,-0.69448,-1.92603,4.82445,-0.00291,0.10614,0.07077,1.88559,-0.05521,-0.0084,0.87535,1.87249,0.20115,0.03327,872.84326,0.70474,0.07892,-1.06894
="2026/04/02 17:28:59.940",0.18902,-0.44115,-2.72776,-0.24684,-1.20284,2.90549,-0.06016,0.12582,0.05248,4.92566,-0.36111,-0.07496,0.68467,2.83563,0.29486,-0.33466,871.89264,0.38479,0.01587,-0.37915
="2026/04/02 17:28:59.960",0.48998,-0.78817,-2.31866,0.31726,-0.7083,3.78122,0.43376,-0.08747,-0.05502,9.48059,0.84237,0.06884,-0.2504,2.14303,0.11802,-0.48334,868.76276,1.14721,-0.0485,-1.10332
="2026/04/02 17:28:59.980",0.71296,0.15848,-1.7886,-0.744,-1.62877,3.88641,0.61953,-0.13396,-0.11228,16.71354,-0.04731,0.13388,-0.36027,2.03994,0.12827,-0.53362,865.97894,0.51723,-0.11269,-0.20235
="2026/04/02 17:29:00.000",0.89257,0.19558,-1.48955,-0.7612,-0.49688,0.24081,1.08157,-0.11493,-0.091,23.8473,1.03324,0.17673,-1.49299,2.15276,-0.08077,-0.14055,864.14716,1.31873,-0.1881,-1.08502
="2026/04/02 17:29:00.020",1.27812,0.66176,-1.15408,-0.79182,-0.57227,1.71522,1.30473,-0.16852,-0.16621,31.07148,0.98983,0.16505,-1.74992,0.77713,-0.10547,-0.29258,861.03339,0.535,-0.31181,-0.50864
="2026/04/02 17:29:00.040",0.92669,0.33949,-1.10653,-0.54681,0.13848,-1.22027,1.37186,-0.08764,-0.18528,37.72003,0.57965,0.3028,-1.61147,0.64991,-0.15161,0.00329,861.50201,0.55585,-0.56045,-0.4336
