time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ
="2026/04/02 17:26:32.020",-0.25678,-0.3596,-1.04336,28.66224,0.43213,-0.05234,0.16201,847.76617,0.27933,0.17123,-0.59915,1.0038,-0.07106,-1.24146,0.10007,0.02977,-0.03871,0.73658,0.01853,-0.06064
="2026/04/02 17:26:32.040",-0.43049,-0.22765,-1.13365,30.31327,1.09704,-0.17986,0.22318,855.88147,0.25351,0.10542,-0.23385,0.41177,0.04259,-0.59699,-0.16887,-0.06347,0.05239,0.45996,-0.0275,0.35374
="2026/04/02 17:26:32.060",-0.53808,-0.52406,-1.36376,29.39843,0.58151,0.56993,-0.92738,864.51752,0.34545,0.12207,-0.31376,0.57008,0.12054,-0.84269,-0.15394,0.03431,-0.04148,0.7543,0.03066,-0.02134
="2026/04/02 17:26:32.080",-0.62561,-0.7259,-0.68369,26.3958,0.90363,0.31939,-0.05542,872.23505,0.06494,-0.05179,-0.18651,0.70895,-0.05227,-1.00254,-0.19373,0.03955,-0.02177,0.46027,0.04143,0.0456
="2026/04/02 17:26:32.100",-0.72303,-0.03169,-0.76613,21.93211,0.77761,0.49583,-0.66076,878.99652,0.57943,-0.00363,-0.05768,0.21672,-0.15243,-0.22644,-0.17121,-0.0756,-0.07492,0.39263,0.02411,0.60788
="2026/04/02 17:26:32.120",-0.51178,-0.17958,-0.01033,15.96344,0.19536,0.68799,-0.73412,883.07965,0.22804,0.03268,0.01731,0.54132,-0.12329,-0.57302,-0.17911,0.05325,0.0082,0.44732,-0.08529,0.00943
="2026/04/02 17:26:32.140",-0.53467,-0.10641,-0.30194,11.06614,0.76944,0.57781,0.29553,882.37677,0.24709,-0.03302,0.20501,0.37672,-0.18235,-0.70929,-0.18782,-0.10854,-0.04862,0.04353,0.13149,0.79768
="2026/04/02 17:26:32.160",-0.44226,-0.08404,0.03733,7.97087,-0.18501,0.39674,-0.60137,878.68353,0.51191,-0.00438,0.1061,-0.05472,-0.07503,-0.07835,-0.39142,-0.06206,-0.10743,-0.16021,-0.09456,0.84846
="2026/04/02 17:26:32.180",-0.17761,-0.308,0.01824,6.72669,-0.16385,0.28392,0.62436,873.23871,0.06889,-0.1784,0.16959,0.49524,-0.01168,-0.30251,-0.26952,-0.05903,-0.04734,-0.2979,-0.07643,0.09423
="2026/04/02 17:26:32.200",-0.12407,0.07029,-0.1928,8.0549,-0.18437,0.45058,0.23432,866.07721,0.46007,-0.18863,0.28235,-0.24248,-0.03674,0.14389,-0.13122,-0.03898,-0.05908,-0.10231,0.10206,0.18636
="2026/04/02 17:26:32.220",0.16804,0.01764,0.43952,11.70831,-0.49487,-0.24818,1.45234,859.07819,0.36359,-0.14309,0.49398,-0.02224,-0.06633,0.42742,-0.58604,-0.12011,-0.17405,-0.18958,0.05583,0.41939
="2026/04/02 17:26:32.240",0.31882,0.11722,0.21584,16.97301,-0.53682,-0.45357,0.60549,853.92145,0.15095,-0.21139,0.75397,0.0414,-0.11343,0.05293,-0.41115,-0.07761,-0.06202,-0.07891,-0.03489,-0.02891
="2026/04/02 17:26:32.260",0.29001,0.22662,0.40847,23.20234,-0.36158,0.17201,1.07697,850.54565,0.27619,-0.18633,0.33671,-0.57964,-0.1215,0.80659,-0.16126,-0.00923,0.01415,-0.13686,0.07763,0.22107
="2026/04/02 17:26:32.280",0.38965,0.22317,1.05163,28.95086,-0.95376,0.48293,0.55643,849.51514,0.13089,-0.1808,0.45993,-0.03237,-0.09612,0.22468,-0.27413,-0.0656,-0.01514,-0.00698,0.04399,-0.23103
="2026/04/02 17:26:32.300",0.31239,0.4505,0.60379,34.11303,-0.11324,-0.31287,0.40918,851.25043,0.1405,-0.27391,0.39342,-0.66894,0.04271,0.7195,-0.13761,-0.02795,-0.00221,-0.09094,-0.20485,-0.25778
="2026/04/02 17:26:32.320",0.1449,0.15554,1.08619,36.97639,-0.26809,0.4349,0.10873,855.30029,0.24594,-0.12426,0.31535,-0.54153,0.00045,0.82886,-0.2041,-0.08265,-0.11264,-0.06319,0.22116,-0.12013
="2026/04/02 17:26:32.340",0.29869,0.26367,1.32306,36.82343,-0.24659,0.30588,-0.55869,860.95032,0.06317,-0.10575,0.22304,-0.58262,0.02133,0.42027,-0.0196,0.07192,0.016,-0.06567,-0.10489,-0.5031
="2026/04/02 17:26:32.360",0.09814,0.21908,0.93012,34.29198,0.35098,-0.28027,0.16585,866.35876,0.05143,-0.07684,0.21588,-0.64044,-0.03046,0.50407,0.01397,0.02032,0.06234,-0.21904,0.00875,-0.19647
="2026/04/02 17:26:32.380",0.0487,0.03255,0.95788,29.1504,-0.19898,-0.07361,-1.06319,871.42511,0.20193,0.02453,0.03792,-0.80558,-0.0885,0.87645,0.19078,-0.00911,-0.02377,-0.25824,-0.12254,-0.37476
="2026/04/02 17:26:32.400",0.00882,-0.13004,1.15416,22.7038,0.28343,-0.32595,-0.01953,874.26379,-0.34001,-0.09124,0.25417,-0.45877,-0.07701,0.11255,0.45587,0.05177,0.07293,-0.26536,0.10928,-0.47857
="2026/04/02 17:26:32.420",0.22616,0.33018,0.8931,15.92924,0.14073,-0.89477,-0.7657,873.63818,0.10585,0.16457,-0.20457,-0.53467,0.16179,0.52937,0.13056,0.00243,0.01784,-0.5308,-0.16334,-0.10331
="2026/04/02 17:26:32.440",0.26595,-0.18429,1.04674,9.464,-0.03748,-0.28474,-0.97858,870.56226,-0.14735,0.09154,0.06074,-0.496,0.2207,0.40689,0.26313,0.01779,-0.02221,-0.49829,0.10444,-0.5008
="2026/04/02 17:26:32.460",0.31077,0.00634,0.55107,5.78173,0.39137,-0.50337,0.02729,865.01654,-0.23727,0.11212,-0.08551,0.06588,-0.10105,0.03637,0.22688,0.09586,0.11897,-0.41675,0.00596,-0.78285
="2026/04/02 17:26:32.480",0.49197,0.35853,0.17308,3.79314,0.00076,-0.5021,-0.7457,858.35834,0.02098,0.19173,-0.32488,-0.36295,-0.07773,0.30917,0.52378,0.10408,0.09626,-0.42592,0.06505,-0.03894
