time,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 17:17:26.740",0.15963,-0.06943,-0.16651,17.83048,-0.06759,0.25744,-0.1529,0.01856,-0.0239,-0.07708,858.92926,0.28263,0.01878,-0.20947,-0.60541,0.11732,-0.35226,-0.17117,0.00716,0.01167
="2026/04/02 17:17:26.760",0.03156,-0.00518,-0.22704,18.57938,-0.03962,0.07784,0.01306,-0.07736,-0.00037,0.09879,859.47888,-0.04864,0.0478,-0.21408,-0.44573,-0.10994,0.4636,-0.09202,0.04029,0.05778
="2026/04/02 17:17:26.780",0.16767,0.06461,-0.01449,18.795,-0.05407,0.01789,-0.283,0.09057,0.04032,-0.08433,859.97736,-0.10253,0.11847,0.18078,-0.41865,-0.23225,0.28264,0.00408,-0.04394,0.03477
="2026/04/02 17:17:26.800",0.21891,-0.01009,-0.27176,18.30289,-0.14725,-0.03218,-0.11074,-0.21746,-0.00506,-0.00949,859.73779,0.20446,0.07888,-0.18626,-0.78126,-0.39735,0.16084,-0.0713,-0.05244,-0.03489
="2026/04/02 17:17:26.820",0.09614,0.04009,-0.12857,18.7575,-0.06994,-0.04268,-0.11311,-0.03534,-0.0489,-0.01685,859.76416,-0.15659,0.04297,0.05326,-0.2867,-0.22783,0.0459,-0.12486,-0.00726,-0.04891
="2026/04/02 17:17:26.840",0.18329,0.08109,-0.21434,18.84284,-0.02459,-0.14438,0.04291,-0.24423,-0.00019,-0.00339,860.24622,0.14736,0.0308,-0.02183,-0.4678,0.21533,-0.51276,-0.01572,-0.01394,0.01466
="2026/04/02 17:17:26.860",-0.00904,-0.04719,-0.24494,18.24524,-0.04921,-0.14174,-0.36215,-0.30173,0.04771,0.21243,860.66296,-0.03356,-0.00342,-0.02239,-0.30795,0.18101,-0.12764,0.02315,0.0256,0.07553
="2026/04/02 17:17:26.880",0.17891,0.00621,-0.27909,18.11617,0.00214,-0.26294,-0.18609,-0.24857,0.02336,0.09391,860.78278,-0.02828,-0.01584,0.125,-0.09221,0.2847,-0.48474,0.12874,0.01169,0.00007
="2026/04/02 17:17:26.900",0.0658,0.0234,-0.08268,19.21268,0.06102,-0.11649,-0.23348,-0.33811,-0.01522,0.0082,860.93726,0.16343,-0.00531,-0.19625,-0.40526,0.30655,-0.32719,0.04738,0.04567,0.01483
="2026/04/02 17:17:26.920",0.19661,-0.01848,-0.34337,19.82619,0.10564,0.09295,-0.14256,-0.2011,-0.01302,0.03081,860.87219,-0.1192,-0.05203,-0.03926,-0.1199,0.19699,-0.25004,0.32094,-0.01891,0.05847
="2026/04/02 17:17:26.940",0.16935,-0.01824,-0.03791,19.02741,0.16608,0.0764,-0.1528,-0.13084,0.02224,-0.1243,860.88757,0.15992,-0.1222,-0.02492,-0.03106,-0.04468,-0.0331,0.11509,0.03544,0.01446
="2026/04/02 17:17:26.960",0.14636,0.06164,-0.18463,17.77931,0.10303,0.11728,-0.14696,-0.2143,0.0151,0.08792,861.05615,-0.05168,-0.05033,-0.20179,-0.49215,0.23798,-0.46077,0.06645,-0.05256,-0.08359
="2026/04/02 17:17:26.980",0.20952,-0.06385,-0.10819,17.87364,0.11842,0.06412,-0.23206,-0.35834,0.00302,0.19659,860.91003,0.02249,0.05893,-0.01995,-0.09203,-0.01136,-0.14528,0.08193,0.02421,0.05289
="2026/04/02 17:17:27.000",0.047,0.06169,0.05039,18.97838,0.11522,0.13171,-0.12903,-0.04979,0.05607,-0.03283,860.40173,0.04957,0.04787,-0.08271,-0.42418,0.04809,-0.24719,0.10104,-0.0075,-0.04536
