time,dist_01.dist
="2026/04/02 16:24:25.972",192.903
="2026/04/02 16:24:25.992",193.146
="2026/04/02 16:24:26.228",193.146
="2026/04/02 16:24:26.248",193.146
="2026/04/02 16:24:26.268",192.097
="2026/04/02 16:24:26.288",192.291
="2026/04/02 16:24:26.308",192.291
="2026/04/02 16:24:26.328",192.291
="2026/04/02 16:24:26.348",192.291
="2026/04/02 16:24:26.368",192.522
="2026/04/02 16:24:26.388",192.522
="2026/04/02 16:24:26.408",192.359
="2026/04/02 16:24:26.428",192.451
="2026/04/02 16:24:26.448",192.451
="2026/04/02 16:24:26.468",192.451
="2026/04/02 16:24:26.488",192.451
="2026/04/02 16:24:26.508",192.499
="2026/04/02 16:24:26.528",192.499
="2026/04/02 16:24:26.548",192.363
="2026/04/02 16:24:26.568",192.092
="2026/04/02 16:24:26.588",191.629
="2026/04/02 16:24:26.608",191.198
="2026/04/02 16:24:26.628",190.682
="2026/04/02 16:24:26.648",190.374
="2026/04/02 16:24:26.668",190.374
="2026/04/02 16:24:26.688",190.985
="2026/04/02 16:24:26.708",190.985
="2026/04/02 16:24:26.728",192.763
="2026/04/02 16:24:26.748",192.705
="2026/04/02 16:24:26.768",192.038
="2026/04/02 16:24:26.788",190.835
="2026/04/02 16:24:26.808",190.835
="2026/04/02 16:24:26.828",190.835
="2026/04/02 16:24:26.848",190.835
="2026/04/02 16:24:26.868",190.835
="2026/04/02 16:24:26.888",192.425
="2026/04/02 16:24:26.908",192.425
="2026/04/02 16:24:26.928",192.425
="2026/04/02 16:24:26.948",192.425
="2026/04/02 16:24:26.968",192.425
="2026/04/02 16:24:26.988",191.889
="2026/04/02 16:24:27.008",191.889
="2026/04/02 16:24:27.028",192.959
="2026/04/02 16:24:27.048",192.959
="2026/04/02 16:24:27.068",192.959
="2026/04/02 16:24:27.088",192.959
="2026/04/02 16:24:27.108",192.959
="2026/04/02 16:24:27.128",192.581
="2026/04/02 16:24:27.148",192.766
="2026/04/02 16:24:27.168",192.766
="2026/04/02 16:24:27.188",192.764
="2026/04/02 16:24:27.208",192.644
="2026/04/02 16:24:27.938",192.488
="2026/04/02 16:24:27.958",192.424
="2026/04/02 16:24:27.978",192.579
="2026/04/02 16:24:27.998",192.696
="2026/04/02 16:24:28.018",192.588
="2026/04/02 16:24:28.038",192.457
="2026/04/02 16:24:28.058",192.622
="2026/04/02 16:24:28.078",192.693
="2026/04/02 16:24:28.098",192.472
="2026/04/02 16:24:28.118",192.511
="2026/04/02 16:24:28.138",192.577
="2026/04/02 16:24:28.158",192.577
="2026/04/02 16:24:28.178",192.491
="2026/04/02 16:24:28.198",192.546
="2026/04/02 16:24:28.218",192.591
="2026/04/02 16:24:28.238",192.55
="2026/04/02 16:24:28.258",192.551
="2026/04/02 16:24:28.278",192.58
="2026/04/02 16:24:28.298",192.555
="2026/04/02 16:24:28.318",192.492
="2026/04/02 16:24:28.338",192.57
="2026/04/02 16:24:28.358",192.638
="2026/04/02 16:24:28.378",192.55
="2026/04/02 16:24:28.398",192.551
="2026/04/02 16:24:28.418",192.541
="2026/04/02 16:24:28.438",192.562
="2026/04/02 16:24:28.458",192.577
="2026/04/02 16:24:28.478",192.537
="2026/04/02 16:24:28.498",192.496
="2026/04/02 16:24:28.518",192.51
="2026/04/02 16:24:28.538",192.6
="2026/04/02 16:24:28.558",192.555
="2026/04/02 16:24:28.578",192.555
="2026/04/02 16:24:28.598",192.522
="2026/04/02 16:24:28.618",192.571
="2026/04/02 16:24:28.638",192.585
="2026/04/02 16:24:28.658",192.536
="2026/04/02 16:24:28.678",192.46
="2026/04/02 16:24:28.698",192.56
="2026/04/02 16:24:28.718",192.599
="2026/04/02 16:24:28.738",192.538
="2026/04/02 16:24:28.758",192.521
="2026/04/02 16:24:28.778",192.529
="2026/04/02 16:24:28.798",192.543
="2026/04/02 16:24:28.818",192.563
="2026/04/02 16:24:28.838",192.568
="2026/04/02 16:24:28.858",192.529
