code,type,time,value1,value2,value3
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-3,sgd,1775476757,198.9492,,
s0011-3,sgd,1775476757,199.1494,,
s0011-3,sgd,1775476757,199.18489,,
s0011-3,sgd,1775476757,199.07732,,
s0011-3,sgd,1775476758,198.31947,,
s0011-3,sgd,1775476758,198.15971,,
s0011-3,sgd,1775476758,199.03673,,
s0011-3,sgd,1775476758,199.66104,,
s0011-3,sgd,1775476758,199.18352,,
s0011-3,sgd,1775476758,198.26746,,
s0011-3,sgd,1775476758,198.62013,,
s0011-3,sgd,1775476758,199.01891,,
s0011-3,sgd,1775476758,198.07024,,
s0011-3,sgd,1775476758,198.14499,,
s0011-3,sgd,1775476758,198.64499,,
s0011-3,sgd,1775476758,198.5148,,
s0011-3,sgd,1775476758,198.4135,,
s0011-3,sgd,1775476758,198.34262,,
s0011-3,sgd,1775476758,198.48605,,
s0011-3,sgd,1775476758,198.66776,,
s0011-3,sgd,1775476758,198.84338,,
s0011-3,sgd,1775476758,198.99716,,
s0011-3,sgd,1775476758,198.60323,,
s0011-3,sgd,1775476758,198.34532,,
s0011-3,sgd,1775476758,198.62692,,
s0011-3,sgd,1775476758,199.05585,,
s0011-3,sgd,1775476758,199.41882,,
s0011-3,sgd,1775476758,198.95468,,
s0011-3,sgd,1775476758,198.37505,,
s0011-3,sgd,1775476758,198.44051,,
s0011-3,sgd,1775476758,198.25108,,
s0011-3,sgd,1775476758,198.33334,,
s0011-3,sgd,1775476758,198.98384,,
s0011-3,sgd,1775476758,198.88402,,
s0011-3,sgd,1775476758,198.38435,,
s0011-3,sgd,1775476758,198.30576,,
s0011-3,sgd,1775476758,199.22993,,
s0011-3,sgd,1775476758,199.32637,,
s0011-3,sgd,1775476758,198.18349,,
s0011-3,sgd,1775476758,198.28969,,
s0011-3,sgd,1775476758,199.41374,,
s0011-3,sgd,1775476758,199.42308,,
s0011-3,sgd,1775476758,198.4706,,
s0011-3,sgd,1775476758,198.23572,,
s0011-3,sgd,1775476758,198.77428,,
s0011-3,sgd,1775476758,199.26401,,
s0011-3,sgd,1775476758,199.42963,,
s0011-3,sgd,1775476758,199.30838,,
s0011-3,sgd,1775476758,198.59297,,
s0011-3,sgd,1775476758,198.37828,,
v00029,vibr,1775476770,0.01164,-0.00964,-0.00798
v00029,vibr,1775476770.02,-0.00124,0.00294,0.00995
v00029,vibr,1775476770.04,-0.01713,-0.00459,0.00559
v00029,vibr,1775476770.06,-0.00494,-0.01106,-0.01462
v00029,vibr,1775476770.08,-0.00049,0.00642,-0.00342
v00029,vibr,1775476770.1,-0.01765,0.0178,-0.00152
v00029,vibr,1775476770.12,0.00959,0.00819,-0.00867
v00029,vibr,1775476770.14,-0.01448,0.01007,-0.00134
v00029,vibr,1775476770.16,-0.00355,0.00328,-0.00452
v00029,vibr,1775476770.18,0.00716,-0.00503,-0.00434
v00029,vibr,1775476770.2,-0.00728,-0.00556,-0.00269
v00029,vibr,1775476770.22,-0.00573,0.00316,0.00486
v00029,vibr,1775476770.24,0.00875,0.00432,0.01758
v00029,vibr,1775476770.26,0.01093,-0.01054,0.00452
v00029,vibr,1775476770.28,-0.00869,-0.00868,-0.00982
v00029,vibr,1775476770.3,-0.00844,0.00041,-0.00305
v00029,vibr,1775476770.32,-0.00309,0.00161,0.00656
v00029,vibr,1775476770.34,-0.01082,0.00479,-0.00303
v00029,vibr,1775476770.36,0.00483,-0.00583,0.00279
v00029,vibr,1775476770.38,0.01068,0.00717,0.00253
v00029,vibr,1775476770.4,-0.01912,0.00051,0.00151
v00029,vibr,1775476770.42,-0.0016,0.01042,-0.01079
v00029,vibr,1775476770.44,-0.00737,-0.00506,-0.01636
v00029,vibr,1775476770.46,-0.00491,-0.00007,-0.00092
v00029,vibr,1775476770.48,-0.00588,0.00239,-0.00511
v00029,vibr,1775476770.5,0.00013,0.00248,0.00156
v00029,vibr,1775476770.52,-0.00357,-0.00585,0.00004
v00029,vibr,1775476770.54,-0.01085,-0.00136,-0.0074
v00029,vibr,1775476770.56,-0.01589,-0.00195,0.00144
v00029,vibr,1775476770.58,-0.00795,-0.00216,-0.00491
v00029,vibr,1775476770.6,0.00126,-0.00336,0.00354
v00029,vibr,1775476770.62,-0.005,-0.00062,0.00762
v00029,vibr,1775476770.64,-0.00293,-0.00292,0.00194
v00029,vibr,1775476770.66,-0.00376,0.00507,-0.00154
v00029,vibr,1775476770.68,0.00896,-0.00792,-0.00903
v00029,vibr,1775476770.7,0.00703,-0.00397,-0.0118
v00029,vibr,1775476770.72,0.00355,0.00473,0.00764
v00029,vibr,1775476770.74,-0.00265,-0.01149,-0.00083
v00029,vibr,1775476770.76,-0.008,-0.01632,0.01508
v00029,vibr,1775476770.78,0.00068,-0.00887,0.00289
v00029,vibr,1775476770.8,0.00007,-0.00126,0.01214
v00029,vibr,1775476770.82,0.01308,-0.00096,-0.00178
v00029,vibr,1775476770.84,0.00554,0.00173,-0.00408
v00029,vibr,1775476770.86,0.00502,-0.00708,0.00754
