time,dist_01.dist
="2026/04/02 15:44:48.627",192.575
="2026/04/02 15:44:48.647",192.573
="2026/04/02 15:44:48.667",192.574
="2026/04/02 15:44:48.687",192.578
="2026/04/02 15:44:48.707",192.578
="2026/04/02 15:44:48.727",192.568
="2026/04/02 15:44:48.747",192.567
="2026/04/02 15:44:48.767",192.571
="2026/04/02 15:44:48.787",192.558
="2026/04/02 15:44:48.807",192.555
="2026/04/02 15:44:48.827",192.552
="2026/04/02 15:44:48.847",192.553
="2026/04/02 15:44:48.867",192.548
="2026/04/02 15:44:48.887",192.544
="2026/04/02 15:44:48.907",192.545
="2026/04/02 15:44:48.927",192.543
="2026/04/02 15:44:48.947",192.541
="2026/04/02 15:44:48.967",192.54
="2026/04/02 15:44:48.987",192.537
="2026/04/02 15:44:49.007",192.539
="2026/04/02 15:44:49.027",192.576
="2026/04/02 15:44:49.047",192.533
="2026/04/02 15:44:49.067",192.536
="2026/04/02 15:44:49.087",192.535
="2026/04/02 15:44:49.107",192.538
="2026/04/02 15:44:49.127",192.535
="2026/04/02 15:44:49.147",192.531
="2026/04/02 15:44:49.167",192.579
="2026/04/02 15:44:49.187",192.536
="2026/04/02 15:44:49.822",192.577
="2026/04/02 15:44:49.842",192.535
="2026/04/02 15:44:49.862",192.537
="2026/04/02 15:44:49.882",192.543
="2026/04/02 15:44:49.902",192.547
="2026/04/02 15:44:49.922",192.545
="2026/04/02 15:44:49.942",192.554
="2026/04/02 15:44:49.962",192.561
="2026/04/02 15:44:49.982",192.566
="2026/04/02 15:44:50.002",192.558
="2026/04/02 15:44:50.022",192.565
="2026/04/02 15:44:50.042",192.571
="2026/04/02 15:44:50.062",192.566
="2026/04/02 15:44:50.082",192.563
="2026/04/02 15:44:50.102",192.562
="2026/04/02 15:44:50.122",192.575
="2026/04/02 15:44:50.142",192.568
="2026/04/02 15:44:50.162",192.565
="2026/04/02 15:44:50.182",192.571
="2026/04/02 15:44:50.202",192.579
="2026/04/02 15:44:50.222",192.578
="2026/04/02 15:44:50.242",192.564
="2026/04/02 15:44:50.262",192.551
="2026/04/02 15:44:50.282",192.56
="2026/04/02 15:44:50.302",192.594
="2026/04/02 15:44:50.322",192.572
="2026/04/02 15:44:50.342",192.594
="2026/04/02 15:44:50.362",192.534
="2026/04/02 15:44:50.382",192.593
="2026/04/02 15:44:50.402",192.63
="2026/04/02 15:44:50.422",192.553
="2026/04/02 15:44:50.442",192.533
="2026/04/02 15:44:50.462",192.532
="2026/04/02 15:44:50.482",192.594
="2026/04/02 15:44:50.502",192.618
="2026/04/02 15:44:50.522",192.589
="2026/04/02 15:44:50.542",192.548
="2026/04/02 15:44:50.562",192.549
="2026/04/02 15:44:50.582",192.583
="2026/04/02 15:44:50.602",192.65
="2026/04/02 15:44:50.622",192.634
="2026/04/02 15:44:50.642",192.533
="2026/04/02 15:44:50.662",192.536
="2026/04/02 15:44:50.682",192.559
="2026/04/02 15:44:50.702",192.581
="2026/04/02 15:44:50.722",192.569
="2026/04/02 15:44:50.742",192.57
="2026/04/02 15:44:50.762",192.579
="2026/04/02 15:44:50.782",192.554
="2026/04/02 15:44:50.802",192.581
="2026/04/02 15:44:51.531",192.594
="2026/04/02 15:44:51.551",192.538
="2026/04/02 15:44:51.571",192.581
="2026/04/02 15:44:51.591",192.581
="2026/04/02 15:44:51.611",192.549
="2026/04/02 15:44:51.631",192.541
="2026/04/02 15:44:51.651",192.65
="2026/04/02 15:44:51.671",192.574
="2026/04/02 15:44:51.691",192.621
="2026/04/02 15:44:51.711",192.624
="2026/04/02 15:44:51.731",192.632
="2026/04/02 15:44:51.751",192.638
="2026/04/02 15:44:51.771",192.627
="2026/04/02 15:44:51.791",192.618
="2026/04/02 15:44:51.811",192.63
="2026/04/02 15:44:51.831",192.641
="2026/04/02 15:44:51.851",192.642
="2026/04/02 15:44:51.871",192.617
="2026/04/02 15:44:51.891",192.617
="2026/04/02 15:44:51.911",192.641
="2026/04/02 15:44:51.931",192.634
="2026/04/02 15:44:51.951",192.608
="2026/04/02 15:44:51.971",192.613
="2026/04/02 15:44:51.991",192.622
="2026/04/02 15:44:52.011",192.613
="2026/04/02 15:44:52.031",192.622
="2026/04/02 15:44:52.051",192.627
="2026/04/02 15:44:52.071",192.605
="2026/04/02 15:44:52.091",192.614
="2026/04/02 15:44:52.111",192.64
="2026/04/02 15:44:52.131",192.637
="2026/04/02 15:44:52.151",192.605
="2026/04/02 15:44:52.171",192.614
="2026/04/02 15:44:52.191",192.64
="2026/04/02 15:44:52.211",192.636
="2026/04/02 15:44:52.231",192.621
="2026/04/02 15:44:52.251",192.602
="2026/04/02 15:44:52.271",192.627
="2026/04/02 15:44:52.291",192.632
="2026/04/02 15:44:52.311",192.569
="2026/04/02 15:44:52.331",192.561
="2026/04/02 15:44:52.351",192.575
="2026/04/02 15:44:52.371",192.576
="2026/04/02 15:44:52.391",192.579
="2026/04/02 15:44:52.411",192.561
="2026/04/02 15:44:52.431",192.568
="2026/04/02 15:44:52.451",192.586
="2026/04/02 15:44:52.471",192.594
="2026/04/02 15:44:52.491",192.572
="2026/04/02 15:44:52.511",192.574
="2026/04/02 15:44:53.129",192.593
="2026/04/02 15:44:53.149",192.587
="2026/04/02 15:44:53.169",192.584
="2026/04/02 15:44:53.189",192.575
="2026/04/02 15:44:53.209",192.584
="2026/04/02 15:44:53.229",192.585
="2026/04/02 15:44:53.249",192.587
="2026/04/02 15:44:53.269",192.578
="2026/04/02 15:44:53.289",192.587
="2026/04/02 15:44:53.309",192.59
="2026/04/02 15:44:53.329",192.582
="2026/04/02 15:44:53.349",192.582
="2026/04/02 15:44:53.369",192.585
="2026/04/02 15:44:53.389",192.579
="2026/04/02 15:44:53.409",192.58
="2026/04/02 15:44:53.429",192.587
="2026/04/02 15:44:53.449",192.58
="2026/04/02 15:44:53.469",192.577
="2026/04/02 15:44:53.489",192.585
="2026/04/02 15:44:53.509",192.584
="2026/04/02 15:44:53.529",192.585
="2026/04/02 15:44:53.549",192.587
="2026/04/02 15:44:53.569",192.586
="2026/04/02 15:44:53.589",192.59
="2026/04/02 15:44:53.609",192.588
="2026/04/02 15:44:53.629",192.582
="2026/04/02 15:44:53.649",192.587
="2026/04/02 15:44:53.669",192.579
="2026/04/02 15:44:53.689",192.576
="2026/04/02 15:44:53.709",192.585
="2026/04/02 15:44:53.729",192.592
="2026/04/02 15:44:53.749",192.576
="2026/04/02 15:44:53.769",192.574
="2026/04/02 15:44:53.789",192.592
="2026/04/02 15:44:53.809",192.585
="2026/04/02 15:44:53.829",192.571
="2026/04/02 15:44:53.849",192.575
="2026/04/02 15:44:53.869",192.579
="2026/04/02 15:44:53.889",192.579
="2026/04/02 15:44:53.909",192.576
="2026/04/02 15:44:53.929",192.573
="2026/04/02 15:44:53.949",192.575
="2026/04/02 15:44:53.969",192.578
="2026/04/02 15:44:53.989",192.573
="2026/04/02 15:44:54.009",192.576
="2026/04/02 15:44:54.029",192.584
="2026/04/02 15:44:54.049",192.584
="2026/04/02 15:44:54.069",192.588
="2026/04/02 15:44:54.089",192.585
="2026/04/02 15:44:54.109",192.572
="2026/04/02 15:44:54.903",192.579
="2026/04/02 15:44:54.923",192.582
="2026/04/02 15:44:54.943",192.579
="2026/04/02 15:44:54.963",192.562
="2026/04/02 15:44:54.983",192.569
="2026/04/02 15:44:55.003",192.573
="2026/04/02 15:44:55.023",192.57
="2026/04/02 15:44:55.043",192.576
="2026/04/02 15:44:55.063",192.583
="2026/04/02 15:44:55.083",192.583
="2026/04/02 15:44:55.103",192.584
="2026/04/02 15:44:55.123",192.582
="2026/04/02 15:44:55.143",192.583
="2026/04/02 15:44:55.163",192.588
="2026/04/02 15:44:55.183",192.588
="2026/04/02 15:44:55.203",192.587
="2026/04/02 15:44:55.223",192.584
="2026/04/02 15:44:55.243",192.574
="2026/04/02 15:44:55.263",192.549
="2026/04/02 15:44:55.283",192.559
="2026/04/02 15:44:55.303",192.571
="2026/04/02 15:44:55.323",192.502
="2026/04/02 15:44:55.343",192.469
="2026/04/02 15:44:55.363",192.435
="2026/04/02 15:44:55.383",192.404
="2026/04/02 15:44:55.403",192.273
="2026/04/02 15:44:55.423",192.103
="2026/04/02 15:44:55.443",191.968
="2026/04/02 15:44:55.463",191.689
="2026/04/02 15:44:55.483",191.499
="2026/04/02 15:44:55.503",191.593
="2026/04/02 15:44:55.523",191.593
="2026/04/02 15:44:55.543",191.404
="2026/04/02 15:44:55.563",191.289
="2026/04/02 15:44:55.583",191.31
="2026/04/02 15:44:55.603",191.336
="2026/04/02 15:44:55.623",191.471
="2026/04/02 15:44:55.643",191.358
="2026/04/02 15:44:55.663",191.307
="2026/04/02 15:44:55.683",191.437
="2026/04/02 15:44:55.703",191.481
="2026/04/02 15:44:55.723",191.401
="2026/04/02 15:44:55.743",191.318
="2026/04/02 15:44:55.763",191.33
="2026/04/02 15:44:55.783",191.329
="2026/04/02 15:44:55.803",191.322
="2026/04/02 15:44:55.823",191.322
="2026/04/02 15:44:55.843",191.041
="2026/04/02 15:44:55.863",191.068
="2026/04/02 15:44:55.883",190.99
="2026/04/02 15:44:56.644",190.868
="2026/04/02 15:44:56.664",190.911
="2026/04/02 15:44:56.684",190.959
="2026/04/02 15:44:56.704",190.904
="2026/04/02 15:44:56.724",190.843
="2026/04/02 15:44:56.744",190.703
="2026/04/02 15:44:56.764",190.703
="2026/04/02 15:44:56.784",190.745
="2026/04/02 15:44:56.804",190.643
="2026/04/02 15:44:56.824",190.672
="2026/04/02 15:44:56.844",190.78
="2026/04/02 15:44:56.864",190.865
="2026/04/02 15:44:56.884",190.839
="2026/04/02 15:44:56.904",190.734
="2026/04/02 15:44:56.924",190.686
="2026/04/02 15:44:56.944",190.689
="2026/04/02 15:44:56.964",190.756
="2026/04/02 15:44:56.984",190.707
="2026/04/02 15:44:57.004",190.643
="2026/04/02 15:44:57.024",190.661
="2026/04/02 15:44:57.044",190.662
="2026/04/02 15:44:57.064",190.74
="2026/04/02 15:44:57.084",190.691
="2026/04/02 15:44:57.104",190.716
="2026/04/02 15:44:57.124",190.749
="2026/04/02 15:44:57.144",190.736
="2026/04/02 15:44:57.164",190.699
="2026/04/02 15:44:57.184",190.671
="2026/04/02 15:44:57.204",190.628
="2026/04/02 15:44:57.224",190.642
="2026/04/02 15:44:57.244",190.631
="2026/04/02 15:44:57.264",190.642
="2026/04/02 15:44:57.284",190.548
="2026/04/02 15:44:57.304",190.489
="2026/04/02 15:44:57.324",190.591
="2026/04/02 15:44:57.344",190.64
="2026/04/02 15:44:57.364",190.507
="2026/04/02 15:44:57.384",190.484
="2026/04/02 15:44:57.404",190.504
="2026/04/02 15:44:57.424",190.518
="2026/04/02 15:44:57.444",190.513
="2026/04/02 15:44:57.464",190.51
="2026/04/02 15:44:57.484",190.567
="2026/04/02 15:44:57.504",190.583
="2026/04/02 15:44:57.524",190.531
="2026/04/02 15:44:57.544",190.521
="2026/04/02 15:44:57.564",190.621
