code,type,time,value1,value2,value3
v00029,vibr,1775479432.8,-0.11868,-0.43572,0.14024
v00029,vibr,1775479432.82,0.10795,0.33074,-1.30489
v00029,vibr,1775479432.84,0.58232,0.86722,-1.20596
v00029,vibr,1775479432.86,0.17736,0.29906,-0.58458
v00029,vibr,1775479432.88,0.18601,-0.29457,-0.20573
v00029,vibr,1775479432.9,0.09379,-0.03884,1.39649
v00029,vibr,1775479432.92,-0.04258,-0.53126,0.92733
v00029,vibr,1775479432.94,0.4729,0.78854,-1.39553
v00029,vibr,1775479432.96,0.39018,0.97809,-2.11861
v00029,vibr,1775479432.98,-0.27181,-0.55757,0.42859
v00013,vibr,1775479432.36,-0.00474,0.00818,-0.00768
v00013,vibr,1775479432.38,0.00775,-0.00001,0.01645
v00013,vibr,1775479432.4,0.00187,-0.0003,-0.00558
v00013,vibr,1775479432.42,-0.00426,0.00539,0.01341
v00013,vibr,1775479432.44,0.00301,0.00051,-0.0263
v00013,vibr,1775479432.46,-0.01494,-0.00232,0.01254
v00013,vibr,1775479432.48,0.00526,0.00359,-0.01143
v00013,vibr,1775479432.5,-0.00115,0.00699,-0.00462
v00013,vibr,1775479432.52,-0.0033,0.00318,-0.01648
v00013,vibr,1775479432.54,-0.00015,-0.00606,-0.00298
v00013,vibr,1775479432.56,0.00838,-0.00894,-0.00266
v00013,vibr,1775479432.58,0.00475,-0.00668,-0.00529
v00013,vibr,1775479432.6,0.00306,-0.00736,-0.00544
v00013,vibr,1775479432.62,0.00471,-0.00109,0.01416
v00013,vibr,1775479432.64,0.00051,-0.00063,0.00225
v00013,vibr,1775479432.66,-0.00139,0.01075,0.02284
v00013,vibr,1775479432.68,0.00553,-0.0109,0.00629
v00013,vibr,1775479432.7,-0.0045,0.00719,0.00281
v00013,vibr,1775479432.72,-0.011,0.00229,-0.00497
v00013,vibr,1775479432.74,-0.0034,0.00114,0.00062
v00013,vibr,1775479432.76,-0.00296,-0.00346,0.00054
v00013,vibr,1775479432.78,0.00732,-0.01021,-0.0039
v00013,vibr,1775479432.8,-0.00617,0.00007,-0.00393
v00013,vibr,1775479432.82,-0.00634,-0.00099,-0.01215
v00013,vibr,1775479432.84,0.0094,0.00449,-0.00667
v00013,vibr,1775479432.86,0.00749,-0.00235,-0.01829
v00013,vibr,1775479432.88,-0.00097,0.00157,-0.00652
v00013,vibr,1775479432.9,-0.00557,-0.00279,0.02019
v00013,vibr,1775479432.92,0.00226,-0.00242,0.0017
v00013,vibr,1775479432.94,-0.00237,0.01098,0.00591
v00013,vibr,1775479432.96,0.00387,-0.00426,0.02058
v00013,vibr,1775479432.98,0.00655,0.00406,-0.00012
v00013,vibr,1775479433,0.00245,0.00391,-0.00924
v00013,vibr,1775479433.02,0.01468,-0.00393,-0.00428
v00013,vibr,1775479433.04,-0.00805,0.00311,-0.01924
v00013,vibr,1775479433.06,-0.00351,0.00357,-0.00038
v00013,vibr,1775479433.08,0.00519,0.00943,0.00222
v00013,vibr,1775479433.1,-0.0032,-0.00422,0.01226
v00013,vibr,1775479433.12,0.00351,0.00809,-0.00602
v00013,vibr,1775479433.14,0.00152,0.00273,0.01268
v00013,vibr,1775479433.16,-0.00107,-0.00031,-0.00804
v00013,vibr,1775479433.18,0.00549,-0.0057,-0.00701
v00013,vibr,1775479433.2,-0.00227,0.00365,0.00049
v00013,vibr,1775479433.22,0.00325,0.00038,-0.01668
v00013,vibr,1775479433.24,-0.00098,0.00278,0.01264
v00013,vibr,1775479433.26,-0.00095,0.00123,-0.0125
v00013,vibr,1775479433.28,0.00577,0.01098,0.011
v00013,vibr,1775479433.3,-0.00058,0.00708,-0.00621
v00013,vibr,1775479433.32,0.00457,-0.00165,0.00477
v00013,vibr,1775479433.34,-0.01227,-0.0203,0.00081
s0011-1,sgd,1775479397,79.24033,,
s0011-1,sgd,1775479397,79.3476,,
s0011-1,sgd,1775479397,80.04599,,
s0011-1,sgd,1775479397,80.21904,,
s0011-1,sgd,1775479397,79.80247,,
s0011-1,sgd,1775479397,79.37001,,
s0011-1,sgd,1775479397,78.72394,,
s0011-1,sgd,1775479397,78.02758,,
s0011-1,sgd,1775479397,78.5107,,
s0011-1,sgd,1775479397,78.93822,,
s0011-1,sgd,1775479397,78.70787,,
s0011-1,sgd,1775479397,78.47066,,
s0011-1,sgd,1775479397,78.7561,,
s0011-1,sgd,1775479397,79.15253,,
s0011-1,sgd,1775479397,79.14233,,
s0011-1,sgd,1775479397,79.19316,,
s0011-1,sgd,1775479397,78.58033,,
s0011-1,sgd,1775479397,78.3377,,
s0011-1,sgd,1775479397,79.5971,,
s0011-1,sgd,1775479397,80.37343,,
s0011-1,sgd,1775479397,80.06406,,
s0011-1,sgd,1775479397,79.08883,,
s0011-1,sgd,1775479397,79.02766,,
s0011-1,sgd,1775479397,79.30637,,
s0011-1,sgd,1775479397,79.75127,,
s0011-1,sgd,1775479397,79.95809,,
s0011-1,sgd,1775479397,79.58138,,
s0011-1,sgd,1775479397,78.66831,,
s0011-1,sgd,1775479397,77.91626,,
s0011-1,sgd,1775479397,79.35952,,
s0011-1,sgd,1775479397,80.60214,,
s0011-1,sgd,1775479397,80.22759,,
s0011-1,sgd,1775479397,78.97317,,
s0011-1,sgd,1775479397,78.65144,,
s0011-1,sgd,1775479397,79.13851,,
s0011-1,sgd,1775479397,79.272,,
s0011-1,sgd,1775479397,78.9942,,
s0011-1,sgd,1775479397,78.5206,,
s0011-1,sgd,1775479397,78.87863,,
s0011-1,sgd,1775479397,79.80901,,
s0011-1,sgd,1775479397,79.87866,,
s0011-1,sgd,1775479397,79.54387,,
s0011-1,sgd,1775479397,79.27404,,
s0011-1,sgd,1775479397,78.91269,,
s0011-1,sgd,1775479397,79.38996,,
s0011-1,sgd,1775479398,79.97305,,
s0011-1,sgd,1775479398,80.29641,,
s0011-1,sgd,1775479398,80.15897,,
s0011-1,sgd,1775479398,79.30942,,
s0011-1,sgd,1775479398,78.81136,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479397,0,,
s0011-2,sgd,1775479398,0,,
s0011-2,sgd,1775479398,0,,
s0011-2,sgd,1775479398,0,,
s0011-2,sgd,1775479398,0,,
s0011-2,sgd,1775479398,0,,
s0011-3,sgd,1775479397,191.58209,,
s0011-3,sgd,1775479397,199.28188,,
s0011-3,sgd,1775479397,207.33412,,
s0011-3,sgd,1775479397,203.37033,,
s0011-3,sgd,1775479397,193.7059,,
s0011-3,sgd,1775479397,191.53969,,
s0011-3,sgd,1775479397,196.25006,,
s0011-3,sgd,1775479397,204.97398,,
s0011-3,sgd,1775479397,205.51398,,
s0011-3,sgd,1775479397,196.2968,,
s0011-3,sgd,1775479397,191.02853,,
s0011-3,sgd,1775479397,192.65436,,
s0011-3,sgd,1775479397,202.48787,,
s0011-3,sgd,1775479397,207.66551,,
s0011-3,sgd,1775479397,199.97087,,
s0011-3,sgd,1775479397,192.41696,,
s0011-3,sgd,1775479397,191.06947,,
s0011-3,sgd,1775479397,198.5408,,
s0011-3,sgd,1775479397,206.3495,,
s0011-3,sgd,1775479397,202.36337,,
s0011-3,sgd,1775479397,194.88091,,
s0011-3,sgd,1775479397,191.13353,,
s0011-3,sgd,1775479397,194.53375,,
s0011-3,sgd,1775479397,203.43211,,
s0011-3,sgd,1775479397,205.03438,,
s0011-3,sgd,1775479397,197.8661,,
s0011-3,sgd,1775479397,191.99084,,
s0011-3,sgd,1775479397,192.37085,,
s0011-3,sgd,1775479397,200.3334,,
s0011-3,sgd,1775479397,205.21083,,
s0011-3,sgd,1775479397,200.73401,,
s0011-3,sgd,1775479397,195.13295,,
s0011-3,sgd,1775479397,191.92805,,
s0011-3,sgd,1775479397,196.99129,,
s0011-3,sgd,1775479397,204.61052,,
s0011-3,sgd,1775479397,202.23006,,
s0011-3,sgd,1775479397,197.12015,,
s0011-3,sgd,1775479397,192.66341,,
s0011-3,sgd,1775479397,194.78041,,
s0011-3,sgd,1775479397,202.56754,,
s0011-3,sgd,1775479397,203.1907,,
s0011-3,sgd,1775479397,198.86713,,
s0011-3,sgd,1775479397,193.86487,,
s0011-3,sgd,1775479397,193.02267,,
s0011-3,sgd,1775479397,199.3436,,
s0011-3,sgd,1775479398,203.59821,,
s0011-3,sgd,1775479398,200.88228,,
s0011-3,sgd,1775479398,196.02216,,
s0011-3,sgd,1775479398,192.67134,,
s0011-3,sgd,1775479398,195.99825,,
v00028,vibr,1775479432.04,-0.00106,-0.00891,-0.00432
v00028,vibr,1775479432.06,0.00181,0.00281,0.00851
v00028,vibr,1775479432.08,-0.00294,0.00109,-0.00476
v00028,vibr,1775479432.1,0.00325,0.00181,0.00298
v00028,vibr,1775479432.12,-0.00112,-0.00158,0.0019
v00028,vibr,1775479432.14,0.00229,-0.01009,-0.00723
v00028,vibr,1775479432.16,0.00441,0.00012,0.00279
v00028,vibr,1775479432.18,0.00556,-0.00091,0.00133
v00028,vibr,1775479432.2,0.0003,-0.00641,0.00177
v00028,vibr,1775479432.22,0.00315,-0.00044,0.00124
v00028,vibr,1775479432.24,-0.00134,0.00548,0.00237
v00028,vibr,1775479432.26,0.00295,0.00048,0.00373
v00028,vibr,1775479432.28,-0.00704,-0.0004,-0.00593
v00028,vibr,1775479432.3,-0.00042,-0.00469,0.00076
v00028,vibr,1775479432.32,0.01659,0.01833,0.14458
v00028,vibr,1775479432.34,-0.00648,0.00991,-0.06663
v00028,vibr,1775479432.36,-0.00613,0.00729,0.02811
v00028,vibr,1775479432.38,0.00243,-0.01287,0.03792
v00028,vibr,1775479432.4,0.00937,-0.00229,-0.02933
v00028,vibr,1775479432.42,0.01163,0.00893,0.02523
v00028,vibr,1775479432.44,-0.00581,0.00722,-0.00206
v00028,vibr,1775479432.46,-0.00665,-0.01061,-0.02086
v00028,vibr,1775479432.48,0.0103,-0.00801,0.02911
v00028,vibr,1775479432.5,0.01437,0.00288,-0.00339
v00028,vibr,1775479432.52,-0.00807,-0.00244,-0.03327
v00028,vibr,1775479432.54,-0.01612,-0.00862,0.02261
v00028,vibr,1775479432.56,-0.00621,0.00614,-0.01006
v00028,vibr,1775479432.58,0.01414,0.00343,-0.00611
v00028,vibr,1775479432.6,0.00572,-0.01413,0.00948
v00028,vibr,1775479432.62,-0.01643,-0.01046,-0.02784
v00028,vibr,1775479432.64,-0.01323,0.01025,-0.00806
v00028,vibr,1775479432.66,0.00437,0.00311,0.01164
v00028,vibr,1775479432.68,0.00835,-0.00895,-0.00992
v00028,vibr,1775479432.7,0.00769,-0.00789,0.00467
v00028,vibr,1775479432.72,-0.00224,0.0104,0.01238
v00028,vibr,1775479432.74,-0.01042,0.00985,-0.00964
v00028,vibr,1775479432.76,-0.00131,-0.00537,-0.00424
v00028,vibr,1775479432.78,0.00545,-0.01183,-0.0048
v00028,vibr,1775479432.8,-0.00141,0.00424,-0.01878
v00028,vibr,1775479432.82,-0.00936,0.00082,-0.00056
v00028,vibr,1775479432.84,-0.00254,-0.00075,0.00747
v00028,vibr,1775479432.86,-0.00068,-0.00499,-0.00357
v00028,vibr,1775479432.88,0.00391,-0.00145,0.00096
v00028,vibr,1775479432.9,-0.00188,-0.00086,0.00084
v00028,vibr,1775479432.92,-0.0139,0.00447,-0.00708
v00028,vibr,1775479432.94,-0.00537,-0.01106,0.00777
v00028,vibr,1775479432.96,0.00514,-0.00254,0.00541
v00028,vibr,1775479432.98,0.00627,-0.00092,-0.00302
v00028,vibr,1775479433,-0.0039,-0.00897,-0.00127
v00028,vibr,1775479433.02,0.00153,0.00124,0.01277
v00024,vibr,1775479432,0.33286,-0.60602,1.31668
v00024,vibr,1775479432.02,-0.16796,-0.17632,0.81228
