time,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ
="2026/04/02 17:08:08.680",0.7972,0.16677,-0.29243,0.49905,-0.02505,-0.101,16.79313,0.38062,0.08013,-0.44259,1.31733,0.17198,-0.6727,856.59821,-0.28092,-0.12724,-0.5321,0.05078,0.07863,1.10049
="2026/04/02 17:08:08.700",-1.34476,0.77993,-1.76451,0.26515,-0.05747,-0.01731,16.96798,0.48048,0.03637,-0.07167,0.37115,-0.08919,0.36185,856.6098,-0.37382,-0.0379,1.18606,-0.39496,0.50768,0.57518
="2026/04/02 17:08:08.720",-0.31087,0.3205,-0.29077,0.64297,-0.00108,-0.00524,16.09795,0.06971,-0.13015,-1.29497,1.18154,0.07652,-0.04463,857.30438,0.09318,0.05189,-0.1192,-0.12614,0.16961,0.86158
="2026/04/02 17:08:08.740",-0.21387,0.43895,-1.04019,0.59628,-0.03291,-0.03183,15.64527,0.16487,0.21554,0.26166,0.83085,0.10098,0.1925,855.62128,-0.39449,0.19219,0.32073,-0.14645,0.0649,0.17573
="2026/04/02 17:08:08.760",-2.06823,0.62316,-1.51509,0.57288,-0.04503,-0.0454,16.38578,0.2415,-0.08697,-0.96726,0.471,-0.10776,0.38388,856.008,-0.44406,0.09899,1.2978,-0.50915,0.16832,0.37559
="2026/04/02 17:08:08.780",0.92399,-0.331,0.79229,0.55906,-0.03348,-0.10531,14.96986,-0.08796,-0.02973,-0.05904,1.00955,0.13527,-0.27403,855.72449,0.3946,-0.00209,-0.91673,0.07641,-0.29627,0.62137
="2026/04/02 17:08:08.800",-1.69369,0.63984,-1.8357,0.80018,-0.04674,-0.09896,16.39048,0.1851,0.10004,0.34066,0.29614,-0.09563,0.32999,856.0849,-0.71783,-0.16632,1.15567,-0.29398,0.42373,0.30729
="2026/04/02 17:08:08.820",-0.93745,0.18459,-0.23483,0.45829,-0.03693,-0.04464,16.81923,-0.24632,-0.13435,-1.02648,0.40006,-0.08503,0.03643,857.8299,0.2744,-0.12641,-0.23895,-0.02464,-0.0794,0.47283
="2026/04/02 17:08:08.840",0.41735,0.00043,-0.32841,0.51207,-0.07623,-0.1068,16.20719,-0.22319,0.05927,0.71632,0.45393,0.0012,-0.53828,857.01306,-0.34233,-0.10906,-0.37417,0.01193,0.10086,0.2335
="2026/04/02 17:08:08.860",-1.88968,0.67245,-1.22987,0.45706,-0.06206,0.00191,18.19493,-0.20077,-0.03047,-0.12625,-0.06998,-0.15659,0.34084,858.95099,-0.20518,0.07483,0.91701,-0.31598,0.30237,0.02238
="2026/04/02 17:08:08.880",0.70874,-0.27645,0.78556,0.36118,-0.04309,-0.09127,17.41626,-0.60046,-0.04469,0.07127,0.23382,0.11095,-0.37505,861.29175,0.41591,0.07514,-1.15491,-0.05896,-0.18111,0.4403
="2026/04/02 17:08:08.900",-0.67052,0.18252,-0.70508,0.17715,-0.08265,-0.09215,18.3616,-0.14818,0.06957,0.97301,-0.53592,-0.06036,0.03826,861.57562,-0.47367,0.07548,0.56996,-0.1312,0.10149,-0.5393
="2026/04/02 17:08:08.920",-0.94634,-0.23687,0.22189,0.02484,-0.00069,-0.02337,19.76974,-0.54182,-0.07351,-0.16927,0.21294,-0.10813,-0.14005,863.60675,0.49757,0.00135,0.02655,-0.18132,-0.39636,-0.59387
="2026/04/02 17:08:08.940",1.30611,-0.49028,0.6873,-0.08883,-0.01672,-0.00552,18.10001,-0.53686,-0.1521,0.87575,0.11803,0.11607,-0.42125,864.15057,0.04519,-0.03019,-0.77553,0.17866,-0.3391,-0.3319
="2026/04/02 17:08:08.960",-1.22503,0.20506,-0.1183,-0.0274,-0.02673,0.02014,19.00313,-0.34886,0.13636,0.61737,-0.9278,-0.15612,0.46415,865.14301,-0.1117,-0.08826,0.8777,-0.13927,-0.01321,-0.76488
="2026/04/02 17:08:08.980",0.80175,-0.78145,1.46184,-0.25717,0.054,-0.02592,19.37658,-0.92057,-0.17932,0.37977,0.05943,0.09341,-0.31737,865.78833,0.57602,-0.04786,-1.06369,0.24023,-0.62385,-0.49055
="2026/04/02 17:08:09.000",0.35683,-0.35033,0.29531,-0.20353,0.01345,-0.0038,20.19683,-0.35223,0.0715,1.11771,-0.61724,0.07368,-0.0066,864.66962,-0.1381,0.02707,-0.04742,0.08509,-0.20781,-0.87751
="2026/04/02 17:08:09.020",-0.31514,-0.17727,0.45315,-0.17644,0.03607,0.08838,21.05731,-0.58961,-0.12923,0.17077,-0.7291,-0.091,0.28914,865.36725,0.44059,-0.04068,0.08399,0.06854,-0.32099,-0.72976
