time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 15:58:39.220",-0.09581,0.02226,-0.00794,0.02284,0.01129,0.10045,-0.0207,0.13197,-0.1431,15.80576,869.8385,0.09744,-0.02978,-0.0249,0.0562,0.01084,-0.00347,0.09932,-0.01141,0.02577
="2026/04/02 15:58:39.240",-0.00645,-0.0494,-0.09942,-0.05564,0.00969,-0.10682,0.31801,-0.03614,0.4205,14.09177,867.07538,0.25763,-0.07154,0.07011,-0.05994,0.0327,0.0106,-0.04976,-0.00477,0.03312
="2026/04/02 15:58:39.260",0.02394,0.06053,-0.10039,-0.02321,0.03577,0.04923,0.03887,0.0715,0.00132,13.34676,863.37915,0.18526,-0.03992,-0.02831,0.13406,0.03821,0.01405,-0.01773,-0.00041,0.01816
="2026/04/02 15:58:39.280",0.10064,0.08365,-0.20943,0.0612,-0.00358,-0.07521,-0.14587,-0.04776,0.39286,12.74642,859.09918,0.30279,-0.09318,0.17391,0.10017,0.00879,-0.13852,-0.08226,0.01786,-0.02364
="2026/04/02 15:58:39.300",0.08158,-0.02824,-0.22778,-0.00378,-0.00013,-0.00574,0.25422,-0.14086,0.44691,14.06009,856.63055,0.27904,-0.02554,-0.07309,0.10439,0.01258,0.07799,-0.07044,-0.00718,0.00685
="2026/04/02 15:58:39.320",0.10017,-0.1325,-0.19944,0.19661,0.03692,0.00727,-0.18322,-0.02692,0.11502,17.02168,855.51123,0.26095,-0.00605,0.02876,0.07613,-0.01023,-0.0883,-0.01677,0.00826,-0.00532
="2026/04/02 15:58:39.340",0.13668,-0.04487,-0.13511,0.15846,0.00775,-0.17476,0.06509,-0.02539,0.28274,20.05027,855.86157,0.28347,0.00697,-0.01674,-0.05414,0.04017,0.00746,-0.05117,0.00053,-0.02524
="2026/04/02 15:58:39.360",0.09618,-0.02666,-0.01032,0.16945,0.02421,0.05417,0.124,-0.01255,-0.1561,22.66694,857.72583,0.29269,0.02629,-0.15218,0.05202,-0.02224,0.12143,-0.20284,-0.00752,0.02082
="2026/04/02 15:58:39.380",-0.02116,-0.02376,0.09623,0.21843,-0.00862,-0.07837,-0.07225,-0.04406,-0.08924,24.865,860.49109,0.25494,-0.00694,-0.06183,-0.05308,-0.03928,-0.12063,-0.213,0.00181,0.00596
="2026/04/02 15:58:39.400",0.06906,-0.00219,0.09649,0.12301,0.01258,-0.06057,0.44214,-0.08889,-0.21543,26.78543,864.12799,0.3304,0.02535,-0.0795,-0.1067,0.02998,0.15256,0.02954,0.0244,0.02167
="2026/04/02 15:58:39.420",-0.131,-0.1109,0.21369,0.31752,0.05291,0.01034,0.19028,0.10885,-0.47589,27.14288,868.01245,0.22818,-0.00606,-0.02226,-0.05168,-0.04329,0.04209,0.04921,0.02194,0.05383
="2026/04/02 15:58:39.440",-0.10192,0.06589,0.18591,0.1025,-0.03221,0.0463,0.40151,0.09907,-0.0613,26.07772,871.1665,0.30442,-0.01008,-0.03431,-0.08713,0.00484,-0.09784,0.0182,0.03181,0.04606
="2026/04/02 15:58:39.460",-0.11708,0.10647,0.03808,0.11573,-0.00277,0.18969,0.35667,0.07051,-0.17649,23.81487,872.81238,0.21232,-0.00082,-0.10478,-0.12547,-0.03055,0.25389,-0.05281,0.01165,-0.00468
="2026/04/02 15:58:39.480",-0.17885,-0.03653,0.34432,0.04212,-0.01883,-0.01233,0.05102,-0.18684,0.30276,20.78192,872.89618,0.28493,-0.01981,-0.00614,-0.14708,-0.05801,-0.07508,-0.09844,-0.02332,-0.0575
="2026/04/02 15:58:39.500",-0.05093,0.10219,0.21413,-0.17911,-0.02824,-0.05048,0.25754,-0.178,0.35109,18.42847,871.64282,0.35638,0.02381,-0.07865,-0.02635,0.08601,0.1661,-0.09731,-0.01786,-0.039
="2026/04/02 15:58:39.520",-0.11373,0.05331,0.00175,0.00171,0.02497,0.06543,-0.24565,-0.22316,0.02333,15.36113,868.51416,0.13464,0.00901,0.12726,-0.0156,0.03344,-0.04808,-0.10431,-0.00559,-0.00406
="2026/04/02 15:58:39.540",0.00967,-0.14808,-0.15052,-0.1283,0.03514,-0.04021,0.05126,-0.09086,0.4441,12.95955,865.70917,0.10269,-0.02324,0.04341,-0.06393,0.00284,0.04509,-0.13835,0.00725,0.01965
="2026/04/02 15:58:39.560",0.0292,-0.08511,-0.00771,-0.01893,0.00314,-0.00812,0.06177,0.06616,0.21641,12.90422,862.3551,0.1939,0.0335,-0.09318,0.07784,0.08346,0.08842,-0.11871,-0.00609,0.03023
="2026/04/02 15:58:39.580",0.10076,-0.0166,0.01147,0.00798,0.0368,-0.09049,-0.27519,-0.01768,0.3358,13.70336,858.20886,0.12958,-0.03342,0.05973,-0.05325,0.05543,-0.02179,-0.03787,0.05864,0.03388
="2026/04/02 15:58:39.600",0.13029,0.05727,-0.03715,-0.01178,-0.01139,-0.25287,-0.01972,0.00048,0.27178,15.68916,856.19415,0.22573,0.02574,-0.09412,0.06634,-0.04832,0.07722,-0.03035,0.00907,0.02912
="2026/04/02 15:58:39.620",0.09534,0.02033,-0.02702,0.1987,0.0083,-0.14755,-0.3792,-0.08633,0.20468,18.19009,856.07263,0.09325,-0.03146,-0.03938,0.01092,-0.08281,-0.0108,-0.08033,0.01154,-0.00192
="2026/04/02 15:58:39.640",0.0553,0.07616,0.04473,0.16733,0.06833,-0.10689,-0.16108,-0.14619,-0.01472,20.77346,857.5863,0.25718,-0.0513,0.04234,-0.05315,-0.0398,0.05891,-0.09897,-0.00721,0.00852
="2026/04/02 15:58:39.660",0.01967,0.07278,0.11446,0.11779,-0.09433,0.00843,0.13677,-0.04713,0.14895,23.36829,859.31085,0.10253,0.01743,-0.05958,0.02931,0.01138,0.15989,-0.04897,0.01459,0.02914
="2026/04/02 15:58:39.680",-0.02486,-0.02031,0.16702,0.05884,-0.05996,-0.02441,-0.29251,-0.23458,0.15612,26.05903,861.67395,0.13037,0.0185,0.08353,-0.11966,0.0672,-0.09426,-0.0948,-0.00468,0.02535
="2026/04/02 15:58:39.700",-0.02363,-0.09743,0.25193,-0.00133,0.05494,-0.09004,0.20753,-0.30226,-0.30132,28.07076,865.76874,0.01001,0.00407,-0.19324,-0.08607,0.0427,0.13018,-0.26201,-0.01459,-0.00257
="2026/04/02 15:58:39.720",-0.10358,-0.06638,0.22874,0.07064,0.00394,0.10719,-0.02194,0.13119,-0.41581,27.20562,869.37628,0.06923,0.00854,0.04442,-0.13544,0.03506,0.12105,-0.13749,-0.02053,-0.00269
="2026/04/02 15:58:39.740",-0.11142,-0.08053,0.26049,-0.10083,0.02358,-0.03918,0.078,0.32851,-0.40727,25.04422,872.073,0.10718,0.00529,-0.03633,-0.10894,-0.02343,0.04213,-0.09096,0.00598,0.01451
="2026/04/02 15:58:39.760",-0.15577,-0.05304,0.24565,-0.10509,-0.03455,0.00033,0.16313,0.20388,-0.27335,23.13988,873.49396,0.08452,0.05508,-0.07054,-0.06141,-0.02998,0.18049,-0.08711,0.00664,0.02684
="2026/04/02 15:58:39.780",-0.07773,-0.02252,0.19425,-0.10327,0.02799,-0.02661,-0.19796,0.02656,-0.17788,20.05976,872.79462,-0.00138,0.00612,0.09408,-0.05401,-0.01123,-0.09477,-0.11756,-0.00105,0.01429
="2026/04/02 15:58:39.800",-0.01559,-0.05207,0.1518,-0.24867,-0.02242,-0.0826,0.1175,-0.00169,0.09959,17.47295,870.625,0.05765,0.00043,-0.07677,-0.05571,0.0213,0.10236,-0.05191,0.00805,0.01726
="2026/04/02 15:58:39.820",-0.02905,0.08133,-0.04345,-0.09664,0.00378,0.00954,-0.2243,-0.06498,0.1642,15.19447,867.45349,0.01188,-0.04658,0.0236,-0.1063,-0.00066,0.12916,0.01011,0.00396,-0.00519
="2026/04/02 15:58:39.840",0.00755,0.06836,0.10092,-0.1926,-0.02658,-0.10874,-0.20364,-0.15408,0.37016,14.05629,864.38788,0.05015,-0.01507,0.07524,0.17491,-0.06405,-0.1915,-0.06673,0.00165,0.00687
="2026/04/02 15:58:39.860",0.10851,0.03451,0.00018,-0.0886,-0.00284,-0.03304,-0.1551,-0.12469,0.26108,13.83394,861.48431,-0.09138,0.027,0.08185,-0.08095,-0.04454,0.21044,-0.10685,0.00439,-0.01506
="2026/04/02 15:58:39.880",0.0989,0.0326,-0.07353,0.03677,0.00717,-0.12057,-0.54459,-0.12871,0.22273,14.76494,858.73676,-0.12533,-0.01903,0.08546,0.07079,-0.03104,-0.04006,-0.08671,-0.0085,0.0061
