time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:34:42.620",-0.78325,-0.29876,1.16317,1.38714,-0.3262,0.04383,-0.10041,-0.03301,-0.05661,0.11545,0.04115,1.17701,-0.80985,0.00229,0.08884,14.68234,0.03539,0.40364,0.58219,852.98615
="2026/04/02 16:34:42.640",-0.53836,-0.27285,-0.05806,-0.00538,0.56479,-1.4164,-0.24245,-0.0832,-0.07521,0.11948,-0.15476,0.78805,-0.95673,0.09366,-0.22703,12.65521,0.06548,-0.06568,1.27701,854.14935
="2026/04/02 16:34:42.660",-1.47239,-0.11509,1.37311,1.721,0.3748,0.80605,-0.23406,-0.09821,-0.10826,-0.5325,-0.09653,0.81441,-1.97872,0.04397,0.26712,9.81359,-0.12349,0.24848,0.99427,855.8985
="2026/04/02 16:34:42.680",-0.59979,-0.15543,0.97833,0.32445,1.0306,-1.10496,-0.49418,-0.08144,-0.08012,-0.61998,0.11734,1.60938,-1.42198,0.26166,-0.47972,9.68454,-0.29098,0.26264,1.1766,857.98456
="2026/04/02 16:34:42.700",-1.14616,-0.13665,0.79441,0.36275,0.93253,0.36461,-0.54628,-0.09575,-0.14194,-0.79457,-0.18065,0.88315,-2.27762,0.15004,-0.31463,10.08311,-0.20119,0.01285,1.7855,859.89209
="2026/04/02 16:34:42.720",-1.36962,-0.13077,1.73349,1.01559,0.67717,0.81711,-0.21316,-0.11868,-0.12549,-1.06383,0.04314,1.15639,-2.10303,0.11507,-0.12302,10.28855,-0.39358,-0.00764,0.009,860.90466
="2026/04/02 16:34:42.740",-0.71841,-0.03182,0.61709,-0.67283,1.07066,-0.24746,-0.9919,-0.14201,-0.20073,-1.09835,0.11796,1.78801,-1.79885,0.25017,-0.43958,12.25308,-0.37681,-0.34097,0.78229,862.99182
="2026/04/02 16:34:42.760",-0.87492,-0.30586,0.60495,0.27707,0.54849,1.95151,-0.25488,-0.13472,-0.15513,-1.24423,-0.4064,0.13385,-2.84991,0.17558,0.43684,13.62784,-0.2455,-0.32273,0.33832,865.61597
="2026/04/02 16:34:42.780",-0.73541,-0.02135,1.45765,-0.29729,0.54175,0.79924,-0.21087,-0.0794,-0.13347,-1.48585,-0.05129,1.54849,-1.93702,0.13847,-0.03958,16.28691,-0.57183,0.27385,0.24589,867.62842
="2026/04/02 16:34:42.800",0.0865,0.13859,-0.43245,-1.90961,0.70597,0.11141,-0.50085,-0.03509,-0.05937,-1.08412,-0.18156,0.58791,-1.08043,0.20257,-0.27764,19.59476,-0.47886,-0.16514,0.24232,870.31934
="2026/04/02 16:34:42.820",-0.44351,0.15447,0.98499,0.36511,-0.59768,1.95223,-0.28743,-0.05307,-0.01416,-0.98227,0.08175,-0.45216,-1.42177,-0.13822,0.36748,21.69076,-0.4055,0.01062,-0.11032,873.16724
="2026/04/02 16:34:42.840",0.55392,0.08603,-0.17444,-1.19369,0.19085,-0.12519,-0.10472,-0.01706,-0.05751,-0.69382,0.01462,0.39722,0.09244,0.07026,-0.06542,25.15992,-0.38427,-0.06032,-0.78108,875.58478
="2026/04/02 16:34:42.860",0.61852,0.07113,-1.0021,-1.09487,0.03083,-0.16302,0.09667,0.06607,0.02288,-0.16718,-0.14883,-1.1687,0.13197,-0.1809,0.02962,27.63779,-0.25885,-0.50768,-0.7635,876.25409
="2026/04/02 16:34:42.880",0.52405,0.09646,-0.03314,0.10974,-0.37173,0.50334,0.51351,0.01472,0.07131,-0.12731,0.15096,-0.61691,0.89117,-0.24357,0.20696,28.52808,-0.19643,-0.0441,-1.40436,874.84094
="2026/04/02 16:34:42.900",1.45708,0.17863,-1.53579,-1.55466,-0.05573,-1.26378,0.28293,0.04233,0.04617,0.49694,0.00972,-1.0757,1.75947,-0.10693,-0.30009,28.93896,-0.0516,-0.44504,-1.05206,874.26349
="2026/04/02 16:34:42.920",0.61228,0.24578,-0.98084,-0.0831,-0.59374,0.3625,0.71345,0.0432,0.09858,0.53648,-0.02452,-1.66344,1.52756,-0.25303,0.31051,28.23594,0.19546,-0.23905,-1.41649,873.51514
="2026/04/02 16:34:42.940",1.12861,0.30725,-0.83661,-0.31674,-0.51213,-0.99574,0.69389,0.13866,0.10721,0.88644,0.24482,-0.93061,2.42451,-0.11311,0.01624,28.03248,0.18216,0.03923,-1.61238,870.22229
="2026/04/02 16:34:42.960",1.38233,0.24062,-1.75577,-0.97359,-0.55295,-0.61124,0.36948,0.05545,0.06393,0.90288,-0.16713,-1.18042,2.05457,-0.137,0.1531,26.69724,0.38952,0.2164,-0.21987,865.52936
="2026/04/02 16:34:42.980",0.46117,0.0803,-0.22183,0.77402,-1.12853,0.02162,1.03756,0.1136,0.17793,0.97374,0.16875,-1.76961,1.71012,-0.30967,0.50489,23.61989,0.4202,0.42558,-1.03241,860.61444
="2026/04/02 16:34:43.000",0.82177,0.16408,-0.70934,-0.62493,-0.6549,-1.59417,0.25423,0.19089,0.15999,1.09215,0.19995,-0.31819,2.5164,-0.14725,-0.37391,22.1287,0.28395,0.26414,-0.83722,856.65479
="2026/04/02 16:34:43.020",0.45904,-0.06774,-1.07406,0.37324,-0.72282,-1.19677,0.11702,-0.09012,0.10497,1.3043,0.06824,-1.23159,1.59772,-0.14679,-0.18925,20.16212,0.64776,-0.16814,-0.48929,853.3147
="2026/04/02 16:34:43.040",-0.26338,-0.15152,0.60359,2.01595,-0.70926,-0.14384,0.25421,0.15013,0.0681,1.11564,0.16468,-0.18691,1.11222,-0.19347,0.44909,17.98691,0.25207,0.2616,-0.83899,849.90564
="2026/04/02 16:34:43.060",0.45401,-0.10019,-0.60111,-0.2331,0.39698,-1.90312,0.11236,-0.15597,-0.05409,1.07704,0.01368,0.02905,1.08581,0.08695,-0.49431,17.67662,0.4027,-0.18112,0.26643,849.25903
="2026/04/02 16:34:43.080",-0.65806,-0.07809,0.53899,1.68628,-0.25493,0.24666,-0.19523,0.0206,-0.05199,0.76095,0.16216,-0.39393,-0.05835,-0.14528,0.11749,15.93293,0.3683,-0.07408,0.56526,849.31775
="2026/04/02 16:34:43.100",-0.49623,-0.07886,0.82515,0.93777,0.46417,-0.97276,-0.35155,-0.08421,-0.02417,0.27266,-0.05985,1.26642,0.20516,0.08116,-0.64611,15.55519,0.09211,0.41284,0.44249,849.41229
="2026/04/02 16:34:43.120",-0.43104,-0.02291,0.21502,0.40322,0.71386,-0.63545,-0.30932,-0.00942,-0.07176,0.09589,-0.08456,0.63876,-0.59388,0.27085,-0.20961,15.62198,0.13695,0.11915,1.70817,851.43945
