time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:31:40.060",-0.1701,-0.23611,0.47015,-0.55446,0.07244,0.07282,-0.88289,-0.20818,0.62391,-0.19564,0.60088,2.12148,0.25134,1.0663,0.44216,25.50314,870.97681,-0.34656,0.10471,-0.08266
="2026/04/02 16:31:40.080",-0.96174,-0.23142,0.71771,-0.49616,0.08709,0.09987,-0.94839,-0.0364,0.45971,-0.15109,0.93638,1.93588,-0.56913,1.2764,-0.4966,25.94457,874.39825,0.43342,0.10827,-0.34219
="2026/04/02 16:31:40.100",-0.33701,-0.20116,0.40078,-0.22878,-0.02236,0.09458,-0.41015,-0.17547,-0.03229,-0.27904,0.34177,1.0047,0.15414,0.12737,0.64444,25.14364,876.62677,0.51281,0.05604,0.02338
="2026/04/02 16:31:40.120",-0.72124,-0.19444,0.34951,-0.21858,-0.02165,-0.04186,-0.54843,0.17834,0.2225,-0.34841,0.07588,1.04415,-0.08202,-0.29428,0.45603,24.42344,877.33728,0.58056,0.0276,0.04531
="2026/04/02 16:31:40.140",-0.1203,-0.35378,0.35155,-0.05189,-0.01748,-0.03383,-0.01275,-0.03744,-0.5494,-0.22237,0.04453,1.48301,0.02612,0.12304,-0.59961,23.85913,877.56128,1.13392,-0.00795,0.27969
="2026/04/02 16:31:40.160",-0.30825,-0.2217,0.7103,0.01399,0.00139,0.08488,0.23631,0.06305,-0.61657,-0.09181,0.54901,0.82439,0.07139,0.06527,0.84108,22.72682,875.87286,0.83282,0.14057,0.04025
="2026/04/02 16:31:40.180",0.0339,0.06894,-0.05818,0.20459,-0.00725,0.02333,0.33383,0.09369,-0.61215,-0.26033,0.25775,0.47046,-0.40492,0.07292,-0.96601,21.79821,872.86835,1.48737,0.09761,-0.3138
="2026/04/02 16:31:40.200",-0.01773,0.08167,0.26683,0.39633,0.01269,-0.00806,0.79662,-0.10044,-1.0835,-0.02853,-0.08453,0.38044,-0.37797,-0.11075,0.36306,21.05541,868.63806,1.07838,0.05694,0.12099
="2026/04/02 16:31:40.220",0.06463,-0.20857,0.43942,0.4947,0.02586,-0.01728,0.60311,0.13175,-0.9516,0.01042,0.16719,-0.68435,-0.33921,-0.29045,0.70966,19.56187,863.37244,1.03562,0.01251,-0.19
="2026/04/02 16:31:40.240",0.61014,-0.21257,-0.12935,0.52862,0.07915,-0.02332,1.07436,0.01747,-1.29448,-0.03494,-0.30292,-0.81021,-0.80451,-0.44146,-0.32907,19.57963,859.31622,1.43324,-0.09269,-0.39677
="2026/04/02 16:31:40.260",0.25969,0.03319,0.04482,0.45251,0.01423,0.02458,1.02372,0.15414,-1.12872,0.10118,-0.42341,-0.79873,-0.49728,-0.84606,0.89747,20.5398,855.40405,0.76817,-0.15282,-0.17385
="2026/04/02 16:31:40.280",0.75515,0.09861,-0.53278,0.76713,0.07323,0.00573,1.29145,0.03954,-1.47382,0.27176,-0.49381,-1.36256,-0.42562,-0.74228,-0.31088,21.60005,851.92792,1.15305,-0.1165,0.07465
="2026/04/02 16:31:40.300",0.42327,0.20727,-0.62554,1.21565,-0.00172,-0.02482,1.25216,0.01505,-0.93266,0.11179,-0.72581,-1.32786,-0.60216,-0.88284,0.31001,22.20552,849.61127,0.30777,-0.10821,0.11181
="2026/04/02 16:31:40.320",0.37225,0.21874,-0.43805,0.34508,-0.00543,-0.056,1.0034,0.02945,-0.6383,0.28911,-0.58008,-1.98004,-0.21892,-1.00007,0.40903,22.3858,849.25623,-0.01395,-0.05284,0.27085
="2026/04/02 16:31:40.340",0.81505,0.23553,-0.72673,0.41704,-0.04952,-0.04682,1.14029,0.09096,-0.81945,0.07856,-0.80096,-1.87939,-0.03321,-1.25238,0.2592,22.53506,851.54175,-0.5631,0.01478,0.33476
="2026/04/02 16:31:40.360",0.23604,0.22424,-0.35475,0.58361,0.04989,0.02756,0.50543,-0.00302,-0.10593,0.00348,-0.47277,-1.81413,-0.27242,-0.70537,-0.0114,21.80696,854.38934,-0.66884,0.00497,-0.27522
="2026/04/02 16:31:40.380",0.83304,0.25541,-0.57547,0.26579,0.03847,0.00533,0.52476,-0.03932,-0.01291,0.14507,-0.41754,-1.17995,0.02696,-0.27859,-0.86992,20.53708,857.24695,-0.41333,-0.08252,-0.32706
="2026/04/02 16:31:40.400",-0.14892,0.37188,-0.05123,0.63366,-0.06717,-0.07425,0.04971,0.06374,0.18221,0.20266,-0.00069,-1.20843,0.38828,-0.41343,0.36009,17.92884,859.17279,-1.05895,0.00537,-0.16176
="2026/04/02 16:31:40.420",0.28941,0.32566,-0.63834,-0.01004,-0.08332,-0.04408,-0.34387,0.03472,0.55423,-0.01128,-0.27339,-1.09557,0.37387,0.03346,-1.08967,15.1265,861.63605,-0.71373,0.02781,-0.05706
="2026/04/02 16:31:40.440",-0.0095,0.11803,-0.24508,-0.31014,-0.03625,0.0196,-0.30357,0.00793,0.51787,0.22706,-0.26544,-0.48062,0.70812,0.01915,-0.10452,13.10991,863.50616,-1.07756,-0.05804,0.25856
="2026/04/02 16:31:40.460",-0.20775,-0.09723,-0.20938,-0.3361,0.03015,-0.03621,-1.01916,-0.01281,1.15203,-0.01672,0.1091,-0.3699,0.66124,0.29776,-0.33843,11.30845,863.92737,-1.23205,0.00836,0.12138
="2026/04/02 16:31:40.480",-0.06345,-0.07326,-0.22575,-0.65137,-0.02738,-0.02642,-0.80715,-0.11302,1.10243,0.11189,-0.0393,0.20996,0.53282,0.73263,-0.83966,10.70253,864.22699,-0.99257,0.07004,0.20966
="2026/04/02 16:31:40.500",-0.58366,0.03418,0.49087,-0.69227,-0.08234,-0.0304,-1.01298,-0.08546,1.22027,0.10586,0.29643,0.04697,0.64401,0.6922,0.68147,10.71933,864.07147,-1.33505,0.07087,-0.01322
