time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 17:04:09.340",0.09922,-0.03391,0.1688,-0.08577,-0.03872,0.12267,0.28926,-0.03252,-0.1181,-0.02525,0.00173,-0.00905,15.24589,-0.10867,0.02117,0.13477,868.30194,-0.03194,0.00773,-0.03658
="2026/04/02 17:04:09.360",-0.10866,-0.02564,-0.00701,-0.00967,0.00135,0.13351,-0.23353,0.00165,-0.28315,0.0124,0.00714,0.00271,13.37665,-0.102,-0.04383,0.0242,866.25873,0.01813,-0.03281,0.08177
="2026/04/02 17:04:09.380",0.04355,-0.0364,0.07637,0.08288,-0.01616,0.04634,-0.05775,-0.04955,0.07841,-0.01202,-0.00569,-0.0152,12.71904,-0.19662,-0.02364,-0.07268,862.91608,-0.02679,0.03523,-0.08755
="2026/04/02 17:04:09.400",0.00709,-0.01108,0.04383,0.11359,-0.01454,0.00647,0.0058,0.01631,-0.06871,-0.08878,-0.00343,-0.02193,12.95481,-0.09313,0.0222,0.19715,858.88513,0.01909,-0.04163,0.03766
="2026/04/02 17:04:09.420",0.05478,-0.00518,0.0165,0.17128,-0.02126,-0.02717,-0.33667,0.03564,0.1592,0.03912,0.00575,-0.02539,14.61665,-0.08769,-0.01811,-0.08574,855.65295,-0.02995,0.02321,-0.00939
="2026/04/02 17:04:09.440",0.09297,-0.00079,0.04713,0.14213,0.03427,-0.04439,0.13738,-0.04106,0.28893,0.01709,0.00392,-0.00826,17.21579,-0.04921,-0.01024,0.0905,852.71686,0.00566,0.03821,-0.04366
="2026/04/02 17:04:09.460",-0.02213,-0.00695,0.01943,0.14278,0.03973,-0.08092,-0.30095,0.07829,0.01314,-0.0001,0.0146,-0.03555,20.83641,0.05212,-0.00212,0.08697,851.71033,-0.0308,-0.00011,-0.00787
="2026/04/02 17:04:09.480",0.09658,0.01012,0.02989,0.07146,-0.00184,-0.0885,0.03423,-0.00582,0.38576,-0.03473,-0.00364,0.01778,23.57083,0.0136,0.00286,-0.05663,852.89661,-0.03313,0.00859,-0.10915
="2026/04/02 17:04:09.500",0.08556,0.0086,-0.03247,0.06445,0.01787,-0.10584,0.0725,-0.01397,0.10281,0.00754,0.01029,0.03231,24.89901,0.19042,-0.00759,0.0358,854.39868,-0.03388,-0.02898,0.01451
="2026/04/02 17:04:09.520",-0.01755,0.00776,-0.03099,-0.03016,0.03038,-0.06708,-0.14201,0.00755,0.15016,-0.06877,0.00512,0.00347,26.40139,0.11808,-0.01667,-0.15028,857.4278,-0.05882,0.02361,-0.01388
