time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 15:35:04.660",-1.47754,-0.16289,0.87848,0.76206,0.1928,-3.15637,-0.03833,-0.01184,-0.01063,-2.44598,-0.47091,6.61086,-3.37956,-0.33456,3.3842,2.1215,1097.63477,0.79566,-0.05466,0.12208
="2026/04/02 15:35:04.680",-0.20338,-0.09917,0.49157,0.50997,-0.10995,1.98597,0.00488,-0.00869,-0.00194,-0.92432,-0.29591,4.21103,-4.30453,-0.38672,4.06892,0,1027.02502,0.95732,-0.07386,0.07442
="2026/04/02 15:35:04.700",0.91747,-0.02943,0.12559,-0.12873,-0.46789,6.90066,0.01946,-0.00748,-0.00879,0.74155,-0.0894,1.11426,-4.33024,-0.39493,4.03836,0,925.93488,1.06912,-0.07019,0.06777
="2026/04/02 15:35:04.720",2.09052,0.06483,-0.31349,-0.56491,-0.64765,10.37719,0.00764,0.00075,0.01655,2.30828,0.23109,-2.21537,-3.73876,-0.30945,3.33359,0,813.72729,0.93159,-0.05826,0.04835
="2026/04/02 15:35:04.740",2.74452,0.14597,-0.74654,-0.86616,-0.71352,12.16416,0.02768,0.00418,0.00736,3.43503,0.46714,-5.06666,-2.32502,-0.18899,2.03473,0,712.96533,0.64819,-0.00574,-0.00964
="2026/04/02 15:35:04.760",2.88068,0.23376,-0.88441,-1.0951,-0.69641,11.83001,0.01591,0.00007,0.00607,3.98107,0.65763,-7.10157,-0.56299,-0.01479,0.39907,0,639.92981,0.23907,0.01499,0.01444
="2026/04/02 15:35:04.780",2.63812,0.29599,-1.03643,-0.88407,-0.54987,9.14202,0.02305,0.00518,0.01151,3.81098,0.77798,-7.84344,1.2637,0.18082,-1.28275,0,606.91913,-0.23249,0.07913,-0.26946
="2026/04/02 15:35:04.800",1.71987,0.26864,-0.91248,-0.67701,-0.33753,5.19092,0.04274,0.0078,0.00876,2.92164,0.67264,-7.12759,2.93116,0.33853,-2.7771,21.86481,620.87677,-0.56802,0.03004,-0.12248
="2026/04/02 15:35:04.820",0.72068,0.16575,-0.67291,-0.24643,0.02349,0.03851,0.02855,0.01074,-0.00369,1.50062,0.51067,-5.23406,3.92972,0.44911,-3.73236,89.9614,679.72369,-0.90018,0.04696,-0.08147
="2026/04/02 15:35:04.840",-0.55834,0.05599,-0.35427,0.28521,0.40255,-4.97933,-0.00667,0.00058,0.00091,-0.21449,0.22294,-2.33508,4.3709,0.5349,-4.06392,145.61063,771.94183,-1.08748,0.05568,-0.03128
="2026/04/02 15:35:04.860",-1.77154,-0.01546,0.11554,0.60709,0.76063,-8.99049,-0.03188,0.00008,-0.00796,-1.84796,-0.02218,0.87036,3.94484,0.48698,-3.66761,176.95627,880.47638,-0.97014,0.05396,-0.02576
="2026/04/02 15:35:04.880",-2.47555,-0.03681,0.51027,0.96353,1.05208,-11.68661,-0.01654,0.00345,-0.00075,-3.19818,-0.21512,3.99107,2.79236,0.32821,-2.62367,179.43237,985.48328,-0.86077,0.02666,-0.0008
="2026/04/02 15:35:04.900",-2.9599,-0.09147,0.78905,0.94917,1.08268,-11.99904,0.00069,-0.00709,-0.00158,-4.01837,-0.39739,6.367,1.22436,0.15081,-1.14686,152.93279,1067.47925,-0.3916,-0.00126,0.07861
="2026/04/02 15:35:04.920",-2.7253,-0.14764,1.04608,0.83278,0.91973,-10.39305,-0.03655,-0.00946,-0.01956,-4.04737,-0.4705,7.56167,-0.69831,-0.04035,0.58982,101.62911,1113.01807,-0.05107,-0.04218,0.09131
="2026/04/02 15:35:04.940",-2.17312,-0.1709,1.00057,0.57723,0.54915,-6.85284,0.0119,-0.01711,-0.01247,-3.39338,-0.51061,7.50731,-2.39325,-0.21269,2.12981,36.42662,1113.33716,0.3984,-0.05462,0.15732
="2026/04/02 15:35:04.960",-1.14067,-0.15952,0.88818,0.06968,0.16416,-2.09155,-0.00701,-0.01221,-0.01528,-2.05675,-0.43034,6.07509,-3.71178,-0.31221,3.39046,0,1068.07715,0.87913,-0.05858,0.15507
="2026/04/02 15:35:04.980",0.08578,-0.11103,0.53872,-0.31129,-0.1599,2.88323,-0.01694,-0.01024,-0.0174,-0.36003,-0.257,3.60527,-4.38107,-0.37993,4.0097,0,985.93756,0.98151,-0.06641,0.1165
="2026/04/02 15:35:05.000",1.18603,-0.0387,0.12455,-0.71956,-0.47664,7.67671,-0.0077,0.00063,-0.01271,1.39162,-0.0413,0.53063,-4.15247,-0.38452,3.93299,0,881.48096,1.06811,-0.06438,0.06035
="2026/04/02 15:35:05.020",2.28941,0.05513,-0.27044,-1.00552,-0.62422,10.71529,0.02165,-0.01181,-0.01006,2.91904,0.25864,-2.6679,-3.33305,-0.29213,3.20846,0,774.41974,0.892,-0.0316,0.02336
="2026/04/02 15:35:05.040",2.78417,0.12101,-0.68964,-0.96863,-0.70654,12.13545,0.01524,0.00006,-0.00048,3.90374,0.48955,-5.32206,-1.75143,-0.18535,1.88884,0,684.13721,0.5983,-0.00686,-0.03786
="2026/04/02 15:35:05.060",2.84762,0.19045,-0.84403,-0.86587,-0.69285,11.33929,0.01995,0.01295,0.00074,4.19586,0.66154,-7.08303,0.03366,-0.02221,0.29851,0,626.59308,0.21757,0.03779,-0.09893
="2026/04/02 15:35:05.080",2.46777,0.21922,-0.9776,-0.42537,-0.52688,8.34852,0.01005,0.00118,0.00141,3.73854,0.72153,-7.57202,1.82064,0.17913,-1.37371,0,611.93835,-0.33908,0.08711,-0.16786
="2026/04/02 15:35:05.100",1.45866,0.23633,-0.94671,-0.01955,-0.31644,4.21127,0.0137,0.00011,0.00219,2.61701,0.63842,-6.67367,3.34182,0.34165,-2.80081,57.7062,643.19098,-0.61563,0.07022,-0.08271
="2026/04/02 15:35:05.120",0.41303,0.20118,-0.63889,0.49917,0.07183,-0.99082,-0.00208,0.00496,0.01737,0.99963,0.47222,-4.6377,4.10251,0.50065,-3.66468,118.30435,715.18774,-0.90103,0.08162,-0.11498
="2026/04/02 15:35:05.140",-0.84333,0.14239,-0.36596,0.94822,0.45141,-5.72974,0.05451,-0.01756,0.01121,-0.84242,0.21946,-1.79754,4.31581,0.5567,-3.9909,160.65173,814.01514,-1.0549,0.0466,-0.05837
="2026/04/02 15:35:05.160",-1.95736,0.07206,0.1274,1.10621,0.80217,-9.50013,0.01347,-0.00777,0.0039,-2.46295,-0.03863,1.36577,3.62637,0.44687,-3.53109,176.98088,921.29272,-0.92105,0.03549,0.00584
="2026/04/02 15:35:05.180",-2.59079,-0.01693,0.49228,1.19136,1.06122,-11.77801,-0.02136,-0.00788,-0.00271,-3.7355,-0.24397,4.27676,2.28723,0.32381,-2.44947,164.52556,1017.80646,-0.77907,0.00499,0.04054
="2026/04/02 15:35:05.200",-2.91155,-0.09876,0.76966,0.90992,0.99815,-11.64006,-0.01172,0.00406,0.01257,-4.30104,-0.40145,6.44867,0.60862,0.16031,-1.04189,125.39235,1086.13354,-0.30548,-0.04737,0.12501
="2026/04/02 15:35:05.220",-2.56925,-0.16003,1.02598,0.48814,0.8196,-9.71764,-0.03064,-0.00534,-0.01128,-4.07617,-0.46757,7.48007,-1.27115,-0.04362,0.72637,67.03797,1114.65955,-0.01928,-0.06822,0.15596
