time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:17:52.480",0.28433,0.13372,-0.78624,0.21164,-0.48725,0.35895,1.49447,-0.3323,0.94159,-0.24696,-0.01337,0.03252,22.31042,868.79761,0.13078,0.07592,0.22012,1.6306,0.09444,-0.40961
="2026/04/02 16:17:52.500",-0.29834,0.06427,0.79313,-0.14067,0.19292,-0.05578,-0.36278,-0.02526,0.21859,-0.17975,-0.02478,-0.05312,21.40888,868.31909,0.31874,0.04841,0.68559,1.02441,-0.01111,-0.04549
="2026/04/02 16:17:52.520",0.61489,0.10375,-0.58237,-0.07563,0.41395,-0.33691,1.2164,-0.32821,1.2215,-0.24245,-0.01388,0.00255,22.50448,868.99841,0.19933,-0.1152,-0.69718,1.00114,-0.02413,0.2083
="2026/04/02 16:17:52.540",-0.12902,-0.09933,-0.16459,0.06471,0.14982,0.06828,0.87753,-0.12726,0.08779,-0.27463,-0.04194,-0.06219,21.38958,868.15173,0.26641,0.19482,0.92347,1.12716,0.13375,-0.32356
="2026/04/02 16:17:52.560",0.21606,-0.17423,0.42987,-0.09347,0.45513,-0.19042,-0.0582,0.25258,0.15837,-0.44643,-0.0083,-0.00889,21.34776,867.63293,0.27089,-0.08695,-0.18802,0.31545,-0.11997,0.40087
="2026/04/02 16:17:52.580",0.56021,-0.19,-0.93716,0.01583,0.17987,-0.41376,1.87997,-0.51508,1.95541,-0.34039,0.02382,0.01124,21.16351,867.56293,0.02596,-0.06765,-0.15909,0.66577,-0.02141,-0.06169
="2026/04/02 16:17:52.600",-0.07292,-0.12997,0.32939,0.00401,0.344,-0.41103,-0.71087,-0.30513,-0.59629,-0.31129,-0.02021,-0.06631,20.00823,865.25885,0.32732,0.24843,0.67015,0.4079,0.01691,-0.03602
="2026/04/02 16:17:52.620",0.76683,-0.1183,-0.56938,-0.15075,0.26805,-0.48579,0.84378,-0.31988,1.22489,-0.36012,0.05151,0.00818,21.25554,864.63141,0.13031,-0.16056,-0.82943,0.06811,-0.12213,0.4805
="2026/04/02 16:17:52.640",0.07178,-0.06279,-0.56264,0.12225,-0.04396,-0.27903,0.76031,-0.1613,0.40102,-0.44217,-0.0893,-0.05588,20.32475,863.06189,0.08787,0.08366,0.62755,0.21454,0.05357,-0.22631
="2026/04/02 16:17:52.660",0.0917,-0.04091,0.437,-0.03807,0.33867,-0.51902,-0.74468,0.11601,-0.28437,-0.38686,-0.01199,-0.00644,20.67546,862.36945,0.25564,0.05836,-0.19844,-0.46375,-0.14053,0.64927
