time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:40:47.820",0.03586,-0.02097,-0.06797,-0.17855,-0.01779,0.35317,22.63019,-0.01208,-0.00763,0.05069,860.78516,-0.04419,0.03159,-0.22837,0.28405,-0.02006,0.42126,-0.20023,0.01156,-0.15236
="2026/04/02 15:40:47.840",0.17241,0.06075,-0.30623,-0.06403,-0.05019,0.62297,21.65351,-0.01337,0.02413,0.02802,859.48871,-0.09146,-0.05787,0.08586,-0.1315,-0.00611,0.19558,0.19199,0.06703,0.05338
="2026/04/02 15:40:47.860",-0.0733,0.02977,-0.35345,1.20126,-0.08191,0.45569,23.19694,-0.03917,0.01742,-0.02572,860.84192,-0.37733,0.04273,-0.15767,-0.09157,-0.03176,-0.10385,0.24497,0.0292,-0.27121
="2026/04/02 15:40:47.880",-0.00007,0.03004,-0.26336,-0.85618,-0.10879,0.68171,22.16513,-0.05661,-0.01872,-0.05237,860.53595,0.11724,-0.01546,0.05598,0.27543,0.04081,0.1457,-0.26352,-0.01495,-0.0222
="2026/04/02 15:40:47.900",-0.07658,0.14955,-0.4072,0.69724,-0.04993,-0.13184,21.87565,0.0214,-0.05724,-0.04342,862.65692,-0.36596,0.01093,-0.03676,-0.36645,-0.03804,-0.44876,0.42195,0.01661,-0.01821
="2026/04/02 15:40:47.920",-0.19239,0.03249,-0.13275,-0.2587,0.04859,-0.06351,22.12033,-0.04553,-0.04165,-0.00286,863.97302,-0.00865,0.00652,-0.09295,0.32832,0.05305,-0.11368,-0.28713,0.02151,-0.19543
="2026/04/02 15:40:47.940",-0.07004,0.16674,-0.03306,-0.52644,0.14025,-0.48477,19.3356,-0.09234,0.00484,0.00983,865.62018,-0.12543,-0.05358,0.0533,-0.11766,0.02429,-0.24939,0.05121,0.04347,0.15292
="2026/04/02 15:40:47.960",-0.23428,0.09624,0.11099,0.80059,0.09325,-0.545,19.1519,-0.06721,0.00111,0.02032,868.64746,-0.23336,0.02966,-0.03829,0.02745,0.05845,-0.37722,-0.00356,0.04132,-0.11849
="2026/04/02 15:40:47.980",-0.08402,-0.0496,0.10505,-1.11187,0.19083,-0.3546,17.71364,-0.11977,0.00034,0.01875,867.33911,0.08123,-0.00898,0.0822,0.3117,0.06444,-0.02923,-0.33775,0.07898,0.06809
="2026/04/02 15:40:48.000",-0.09298,-0.15529,0.18494,0.32769,0.00129,-0.65201,17.1911,0.01239,0.01163,0.03344,868.0957,-0.24047,0.04725,-0.0968,-0.35121,0.00775,-0.20272,0.23936,0.04796,0.26994
